Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage
Parikshita Dash,Internal,BasudevPrasadSahuAERBRRPSantoshKumarNayakAEEITDARRPApurbaKumarPatraAERameswarSethyAESureshKumarMajhiSRA,Apurba Kumar Patra,10-Jul-2023 10:24 PM,techsummary_435042.pdf (621.48 KB),ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_88153_4,01/2023-24 of ITDA Rairangpur,Construction of Dining Hall of 100 seated STGH of Badakuleibira Ashram School under Jamda Block.,1.0,2129874.0,ARATI DALEI,INR,"1,720,359.79",1,2129874,ARATI DALEI,04-May-2023 12:17 PM,Accepted-AOC,Lottery Winner L1,11-Jul-2023 12:29 AM,Finance,All the bidders of Work SI. No. 4 of Bid Identification No. 01/2023-24 are provisionally admitted for overall evaluation process.,Trilochan Ojha,08-May-2023 05:54 PM,finance_435042.pdf,BOQ Comparative Chart,Parikshita Dash,Internal,BasudevPrasadSahuAERBRRPSantoshKumarNayakAEEITDARRPApurbaKumarPatraAERameswarSethyAESureshKumarMajhiSRA,Apurba Kumar Patra,10-Jul-2023 10:30 PM,finsummary_435042.pdf (621.48 KB),11-Jul-2023,"INR 1,720,359.79",150.0,Apurba Kumar Patra,11-Jul-2023 12:26 AM,WorkorderArati4.pdf (513.00 KB),"Arati Dalei C Class Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",AOC,"6,000",0.0,Nil,Nil,No,Construction of Dining Hall of 100 seated STGH of Badakuleibira Ashram School under Jamda Block.,Construction of Dining Hall of 100 seated STGH of Badakuleibira Ashram School under Jamda Block.,As per tender documents. ,NA ,"20,23,715",Civil Works - Buildings,NA ,Tender,90.0,150.0,Badkuleibira,757045.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, PO/PS-Rairangpur, Dist-Mayurbhanj",1.0,Fee/PreQual/Technical/Finance,.pdf,Tender documents,21-Apr-2023 10:00 AM,06-May-2023 10:30 AM,21-Apr-2023 10:00 AM,04-May-2023 01:00 PM,NA ,NA ,21-Apr-2023 10:00 AM,04-May-2023 01:00 PM,1.0,Technical Bid,Technical Bid,,"20,237",Yes,percentage,1.0%,Nil,Nil,ST and SC Development Deptt||ITDA Rairangpur,01/2023-24 of ITDA Rairangpur,2023_STSCD_88153_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2129525,BIRENDRA BEHERA,03-May-2023 09:15 PM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2129516,DAMAN MAJHI,03-May-2023 09:01 PM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2129746,DEEPAK KUMAR NAYAK,04-May-2023 11:00 AM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2129785,DHARMENDRA MOHANTY,04-May-2023 11:28 AM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2129574,DHARMENDRA SAHU,03-May-2023 10:14 PM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2129597,DINESH MANDAL,03-May-2023 10:54 PM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2129849,KISHORE KUMAR RAJAK,04-May-2023 11:59 AM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2129373,NIKESH KUMAR DASH,03-May-2023 06:18 PM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2127033,SRI BIPADARA MANDAL,30-Apr-2023 07:24 PM,Rejected-AOC,L1,11-Jul-2023 12:29 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
