Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Ganjam,2023_OSCSC_88321_1,2464/23.04.2023,UNIT -SURADA BLOCK/NAC FOR APPOINTEMENT OF LEVEL-II T.C. FOR THE YEAR 2023-25,1.0,2132828.0,SANAT KUMAR PANDA,INR,54.96,Collector Ganjam,Internal,"ADM (Gen), Ganjam , RTO, Ganjam, DLO, Ganjam, DSWO, Ganjam, CCSO-cum-DM, Ganjam",Pusha Munda,08-Jun-2023 06:56 PM,09-Jun-2023 11:00 AM,techsummary_435583.pdf (947.37 KB),Collector Ganjam,Internal,"CCSO,Ganjam DSWO,Ganjam DLO,Ganjam RTO,Ganjam , ADM(Gen),Ganjam",Pusha Munda,24-Jun-2023 04:27 PM,finsummary_435583.pdf (1683.20 KB),01-Aug-2023,"INR 8,311,401",730.0,Pusha Munda,22-Jul-2023 11:20 AM,AOCLEVELII.pdf (759.00 KB),Award of contract for Surada Block/ NAC,Finance,No of 2 bidder participated in price bid,Pusha Munda,22-Jun-2023 08:05 PM,finance_435583.pdf,BOQ Comparative Chart,1,2134100,AKASH CHANDRA DASH,08-May-2023 04:56 PM,Rejected-Technical,disqualified,08-Jun-2023 06:56 PM,Technical,Documents accepted of three bidder,Pusha Munda,08-Jun-2023 06:29 PM,technical_435583.pdf,AOC,"5,900",0.0,Nil,Nil,No,1.0,ICICI BANK,"4,15,570",No,fixed,,Nil,Nil,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Ganjam,2464/23.04.2023,2023_OSCSC_88321_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,UNIT -SURADA BLOCK/NAC FOR APPOINTEMENT OF LEVEL-II T.C. FOR THE YEAR 2023-25,Appointment of Level-II Transport Contractor for the year 2023-25,Please refer Tender documents. ,NA ,,Handling and Transportation,NA ,Tender,45.0,730.0,Surada Block and NAC,761020.0,"O/O the CCSO-cum-DM, Ganjam,Chatrapur ","O/O the CCSO-cum-DM, Ganjam,Chatrapur ",29-Apr-2023 04:00 PM ,"Jaugada Conference Hall, Zilla Parisad, Chatrapur",No ,No,24-Apr-2023 11:00 AM,09-May-2023 11:00 AM,24-Apr-2023 11:00 AM,08-May-2023 05:00 PM,NA ,NA ,24-Apr-2023 11:00 AM,08-May-2023 05:00 PM,09-Jun-2023 11:00 AM,"CCSO-Cum-DM,Ganjam","O/O the CCSO-cum-DM, Ganjam,Chatrapur",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2132828,SANAT KUMAR PANDA,08-May-2023 01:56 PM,Accepted-AOC,Approved by DLTC,22-Jul-2023 11:20 AM,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2132891,SANTOSHI NAHAK,08-May-2023 01:41 PM,Rejected-Finance,Lowest2,24-Jun-2023 04:27 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
