Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate","29,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",Nil,Nil,No,Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak",CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.7 / 2022-23,2023_SCDBH_86289_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Feb-2023 11:00 AM,06-Mar-2023 11:00 AM,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,17-Feb-2023 11:00 AM ,23-Feb-2023 05:00 PM ,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,(20) RESTORATION TO SALANDI LEFT NEAR VILLAGE BARIKPUR,Canal improvement,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,90.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,AOC,14-Jul-2023,"INR 2,496,376",90.0,PRASANTA KUMAR PATEL,14-Jul-2023 05:36 PM,20.pdf (349.00 KB),Contract Awarded,1,2093621,Adikanda Nayak,03-Mar-2023 11:25 AM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the S.E., Salandi Canal Division, Bhadrak",Dipak Kumar Samal,28-Apr-2023 01:26 PM,techsummary_429106.pdf (339.98 KB),"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the S.E., Salandi Canal Division, Bhadrak",Dipak Kumar Samal,28-Apr-2023 01:32 PM,finsummary_429106.pdf (339.98 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_86289_20,e-Procurement Notice No.7 / 2022-23,(20) RESTORATION TO SALANDI LEFT NEAR VILLAGE BARIKPUR,1.0,2095133.0,Ajit Kumar Lenka,INR,"2,496,376",Finance,Uploaded documents of all the bidders have been downloaded successfully.,Raikan Besra,06-Mar-2023 08:12 PM,finance_429106.pdf,BOQ Comparative Chart,AOC
,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2092220,Aditya Kumar Mohapatra,02-Mar-2023 07:16 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2095133,Ajit Kumar Lenka,04-Mar-2023 01:28 PM,Accepted-AOC,Won the lottery,14-Jul-2023 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2095125,Ashish Puhana,04-Mar-2023 02:01 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2094903,ASHIS KUMAR DAS,03-Mar-2023 08:18 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2088830,BHAGYASHREE ROUT,28-Feb-2023 01:13 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2095065,BIBHUDATTA ROUT,04-Mar-2023 01:20 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2093251,BIRANCHI NARAYAN MOHANTY,01-Mar-2023 06:51 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2095164,DAMBORUDHAR BARIK,04-Mar-2023 01:10 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2094083,Debasish Nayak,02-Mar-2023 01:09 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
