Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Collector Sambalpur cum chairman ITDA Kuchinda,Internal,Project Administrator ITDA Kuchinda Executive Engineer RWD Kuchinda,HEMASAGAR BHOI,27-Jun-2023 06:55 PM,techsummary_438512.pdf (8222.61 KB),1.0,2146681.0,DHARITRI NAYAK,INR,"1,208,806",ST and SC Development Deptt||ITDA Kuchinda,2023_STSCD_89121_9,ITDAKCD-01/2023-24,"Infrastructure development of ICT Education and smart learning facility centre at Govt SSD Girls High School, Tikilipada",1,2146681,DHARITRI NAYAK,25-May-2023 02:44 PM,Accepted-AOC,Lottery Winner,06-Jul-2023 11:33 AM,01-Jul-2023,"INR 1,208,806",90.0,HEMASAGAR BHOI,06-Jul-2023 11:33 AM,Workorder9.pdf (555.00 KB),As per Agreement,Finance,Tender has been opened successfully,HEMASAGAR BHOI,26-May-2023 11:20 AM,finance_438512.pdf,BOQ Comparative Chart,Collector Sambalpur cum chairman ITDA Kuchinda,Internal,Project Administrator ITDA Kuchinda Executive Engineer RWD Kuchinda,HEMASAGAR BHOI,27-Jun-2023 07:27 PM,finsummary_438512.pdf (3230.36 KB),AOC,"14,300",Yes,fixed,,Nil,Nil,Project Administrator ITDA Kuchinda,At/Po-Kuchinda,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,"6,000",0.0,Nil,Nil,No,"Infrastructure development of ICT Education and smart learning facility centre at Govt SSD Girls High School, Tikilipada","Infrastructure development of ICT Education and smart learning facility centre at Govt SSD Girls High School, Tikilipada",As per BoQ ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,Tikilipada,768222.0,NA ,NA ,NA ,O/o the Project Administrator ITDA Kuchinda,No ,No,1,ICICI BANK,19-May-2023 09:00 AM,26-May-2023 09:00 AM,19-May-2023 09:00 AM,25-May-2023 06:00 PM,19-May-2023 09:00 AM ,25-May-2023 06:00 PM ,19-May-2023 09:00 AM,25-May-2023 06:00 PM,ST and SC Development Deptt||ITDA Kuchinda,ITDAKCD-01/2023-24,2023_STSCD_89121_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2146802,ROJASH MAHAKUL,25-May-2023 04:57 PM,Rejected-AOC,Lossing of Lottery,06-Jul-2023 11:33 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
