Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Odisha Tourism Devl. Corp.,2023_OTDC_88673_1,BP -I/01/2023-24Dt.12.04.2023,Development of Sapua Dam at Dhenkanal District.,S.K. Behera,Internal,L.ROUTR.K.PaleiA.S. SWAINA.RATH.PRADHAN,Sunil Kumar Behera,17-Jul-2023 12:05 PM,finsummary_436594.pdf (1201.54 KB),Technical,Technical Proceeding,Sunil Kumar Behera,09-Jun-2023 01:38 PM,technical_436594.pdf,1.0,2139364.0,PRASANA KUMAR SAHOO,INR,"52,362,791",17-Jul-2023,"INR 52,362,791",360.0,Sunil Kumar Behera,17-Jul-2023 12:08 PM,SapuaWo.PDF (1202.00 KB),Development of Sapua Dam at Dhenkanal District.,Finance,Price bid proceeding,Sunil Kumar Behera,17-Jul-2023 11:55 AM,finance_436594.pdf,BOQ Comparative Chart,S.K.Behera,Internal,LROUTRKPALEIARATHASSWAINSPRADHAN,Sunil Kumar Behera,09-Jun-2023 01:58 PM,09-Jun-2023 04:30 PM,techsummary_436594.pdf (5034.44 KB),1.0,Development of Sapua Dam at Dhenkanal District.,Tender Revocation,09-Jun-2023 01:10 PM,Sapua.pdf ,183.19,Technical Opening,1,2134329,ABHISHEK KALIPRASANNA PUHAN,09-May-2023 03:41 PM,Rejected-Technical,Not Fulfilled eligibility criteria,09-Jun-2023 01:58 PM,AOC,Development of Sapua Dam at Dhenkanal District.,Development of Sapua Dam at Dhenkanal District.,Please refer Tender documents. ,NA ,"5,22,00,000",Civil Works - Others,NA ,Tender,90.0,360.0,Dhenkanal District.,759024.0,NA ,NA ,NA ,Superintending Engineer(I/C) O.T.D.C Ltd Lewis r,No ,No,"10,000","1,800",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidative, GST work experience cert","5,22,000",Yes,percentage,1.0%,Nil,Nil,Superintending Engineer(I/C) O.T.D.C Ltd,Superintending Engineer(I/C) O.T.D.C Ltd Lewis road Bhubaneswar.,02-May-2023 05:00 PM,17-May-2023 11:30 AM,02-May-2023 05:00 PM,16-May-2023 05:00 PM,NA ,NA ,02-May-2023 05:00 PM,16-May-2023 05:00 PM,09-Jun-2023 04:30 PM,Odisha Tourism Devl. Corp.,BP -I/01/2023-24Dt.12.04.2023,2023_OTDC_88673_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2135950,ANAND ENGINEERING,16-May-2023 12:53 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2131828,ARYA PRAKASH CHAMPATIRAY,13-May-2023 04:35 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2138875,ASHOK KUMAR DASH,15-May-2023 01:26 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2137777,ASHUTOSH SAHU,15-May-2023 11:53 AM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2140192,BALUKESWAR SAHOO,16-May-2023 02:05 PM,Rejected-Technical,Not Fulfilled eligibility criteria,09-Jun-2023 01:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2138256,Debabrata Bhatta,15-May-2023 07:42 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2135354,DIPTI RANJAN MOHANTY,16-May-2023 12:45 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2140102,NIRAKAR SAMAL,16-May-2023 01:18 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2139987,Pradeep Kishor Swain,16-May-2023 12:10 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
