Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Tender documents,1,ICICI BANK,Construction of Kitchen room at 100 seated STGH of Gorumahisani High School under Rairangpur Block.,Construction of Kitchen room at 100 seated STGH of Gorumahisani High School under Rairangpur Block.,As per tender documents. ,NA ,"5,83,334",Civil Works - Buildings,NA ,Tender,90.0,120.0,Gorumahisani,757042.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,"4,000",0.0,Nil,Nil,No,ST and SC Development Deptt||ITDA Rairangpur,01/2023-24 of ITDA Rairangpur,2023_STSCD_88153_48,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,21-Apr-2023 10:00 AM,06-May-2023 10:30 AM,21-Apr-2023 10:00 AM,04-May-2023 01:00 PM,NA ,NA ,21-Apr-2023 10:00 AM,04-May-2023 01:00 PM,"5,833",Yes,percentage,1.0%,Nil,Nil,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",AOC,ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_88153_48,01/2023-24 of ITDA Rairangpur,Construction of Kitchen room at 100 seated STGH of Gorumahisani High School under Rairangpur Block.,Parikshita Dash,Internal,BasudevPrasadSahuAERBRRPSantoshKumarNayakAEEITDARRPApurbaKumarPatraAERameswarSethyAESureshKumarMajhiSRA,Apurba Kumar Patra,22-Jul-2023 10:28 PM,finsummary_435210.pdf (621.48 KB),Finance,All the bidders of Work SI. No.48 of Bid Identification No. 01/2023-24 are provisionally admitted for overall evaluation process.,Trilochan Ojha,09-May-2023 11:15 AM,finance_435210.pdf,BOQ Comparative Chart,1.0,2129735.0,HARAPRASAD SARDAR,INR,"495,892.01",1,2129735,HARAPRASAD SARDAR,04-May-2023 10:50 AM,Accepted-AOC,Lottery Winner L1,22-Jul-2023 10:32 PM,22-Jul-2023,"INR 495,892.01",120.0,Apurba Kumar Patra,22-Jul-2023 10:30 PM,AOCsummary.pdf (1459.00 KB),"Haraprasad Sardar C Class ST Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",Parikshita Dash,Internal,BasudevPrasadSahuAERBRRPSantoshKumarNayakAEEITDARRPApurbaKumarPatraAERameswarSethyAESureshKumarMajhiSRA,Apurba Kumar Patra,22-Jul-2023 10:26 PM,techsummary_435210.pdf (621.48 KB),AOC
,,.xls,Bill of Quantities,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2129875,KHITU TUDU,04-May-2023 12:20 PM,Rejected-AOC,L1,22-Jul-2023 10:32 PM,,,,,,,,,,,,,,AOC
