S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,2094538.0,Sk Chand Mohammad,INR,"1,791,363",Finance,Uploaded documents of all the bidders have been downloaded successfully.,Raikan Besra,06-Mar-2023 08:06 PM,finance_429092.pdf,BOQ Comparative Chart,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the S.E., Salandi Canal Division, Bhadrak",Dipak Kumar Samal,28-Apr-2023 03:05 PM,finsummary_429092.pdf (374.18 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_86289_16,e-Procurement Notice No.7 / 2022-23,(16) REPAIR TO OUTLET AND C.D.WORK OF ISWARPUR MINOR INCLUDING RESECTIONING OF CANAL,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the S.E., Salandi Canal Division, Bhadrak",Dipak Kumar Samal,28-Apr-2023 02:57 PM,techsummary_429092.pdf (374.18 KB),1,2090017,Aditya Kumar Mohapatra,27-Feb-2023 09:41 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,14-Jul-2023,"INR 1,791,363",90.0,PRASANTA KUMAR PATEL,14-Jul-2023 05:28 PM,16.pdf (365.00 KB),Contract Awarded,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate",CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.7 / 2022-23,2023_SCDBH_86289_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak","6,000",Nil,Nil,No,(16) REPAIR TO OUTLET AND C.D.WORK OF ISWARPUR MINOR INCLUDING RESECTIONING OF CANAL,Canal improvement,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,90.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,17-Feb-2023 11:00 AM,06-Mar-2023 11:00 AM,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,17-Feb-2023 11:00 AM ,23-Feb-2023 05:00 PM ,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,"21,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2094892,ASHIS KUMAR DAS,03-Mar-2023 07:45 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2088825,BHAGYASHREE ROUT,26-Feb-2023 10:00 AM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2095092,BIBHUDATTA ROUT,04-Mar-2023 01:42 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2090051,Biswanath Barik,01-Mar-2023 07:41 AM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2094961,DAMBORUDHAR BARIK,04-Mar-2023 05:36 AM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2095123,DINESH KUMAR BARIK,04-Mar-2023 12:20 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2095346,JYOTSNARANI KANUNGO,04-Mar-2023 03:42 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2094823,Manoranjan Mohanty,03-Mar-2023 08:59 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2092622,Niranjan Barik,02-Mar-2023 12:16 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2094435,PRAMOD KUMAR MOHANTY,03-Mar-2023 04:41 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2095232,PRASANTA KUMAR LENKA,04-Mar-2023 01:55 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2094953,RADHAKANTA DAS,03-Mar-2023 11:23 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2095347,SIDDHARTHA BARIK,04-Mar-2023 03:58 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2094538,Sk Chand Mohammad,04-Mar-2023 11:47 AM,Accepted-AOC,Won the lottery,14-Jul-2023 05:28 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2094933,SOMALISHA DAS (S.C.),03-Mar-2023 10:00 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 03:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
