Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Tender documents,21-Apr-2023 10:00 AM,06-May-2023 10:30 AM,21-Apr-2023 10:00 AM,04-May-2023 01:00 PM,NA ,NA ,21-Apr-2023 10:00 AM,04-May-2023 01:00 PM,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,"Construction of Boundary wall at 100 seated STGH of Parbati Girls High School, Badadalima under Tiring Block.","Construction of Boundary wall at 100 seated STGH of Parbati Girls High School, Badadalima under Tiring Block.",As per tender documents. ,NA ,"6,66,666",Civil Works - Buildings,NA ,Tender,90.0,120.0,Badadalima,757053.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,"6,667",Yes,percentage,1.0%,Nil,Nil,ST and SC Development Deptt||ITDA Rairangpur,01/2023-24 of ITDA Rairangpur,2023_STSCD_88153_58,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Parikshita Dash,Internal,BasudevPrasadSahuAERBRRPSantoshKumarNayakAEEITDARRPApurbaKumarPatraAERameswarSethyAESureshKumarMajhiSRA,Apurba Kumar Patra,22-Jul-2023 01:08 PM,finsummary_435238.pdf (621.48 KB),ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_88153_58,01/2023-24 of ITDA Rairangpur,"Construction of Boundary wall at 100 seated STGH of Parbati Girls High School, Badadalima under Tiring Block.",1.0,2129689.0,MADHU PATRA,INR,"566,732.59",Finance,All the bidders of Work SI. No. 58 of Bid Identification No. 01/2023-24 are provisionally admitted for overall evaluation process.,Trilochan Ojha,09-May-2023 11:43 AM,finance_435238.pdf,BOQ Comparative Chart,22-Jul-2023,"INR 566,732.59",120.0,Apurba Kumar Patra,22-Jul-2023 01:10 PM,AOCsummary.pdf (1459.00 KB),"Madhu Patra C Class SC Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",1,2129937,AJAY KUMAR SAHU,04-May-2023 12:52 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,Parikshita Dash,Internal,BasudevPrasadSahuAERBRRPSantoshKumarNayakAEEITDARRPApurbaKumarPatraAERameswarSethyAESureshKumarMajhiSRA,Apurba Kumar Patra,22-Jul-2023 01:05 PM,techsummary_435238.pdf (621.48 KB),AOC
,,.xls,Bill of Quantities,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2125486,DHANESWAR MANDAL,28-Apr-2023 01:06 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2127709,GOURISHANKAR BEHERA,01-May-2023 05:20 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2128601,JEETENDRA KUMAR MALLICK,02-May-2023 08:00 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2129689,MADHU PATRA,04-May-2023 10:17 AM,Accepted-AOC,Lottery Winner L1,22-Jul-2023 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2128557,MANARANJAN MANDAL,02-May-2023 06:41 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2128379,RAJESH HEMBRAM,02-May-2023 04:04 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2129546,RINKU RUNGTA,03-May-2023 09:38 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2127067,SRI BIPADARA MANDAL,30-Apr-2023 08:27 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2128624,SURAJ PRASAD YADAV,02-May-2023 08:15 PM,Rejected-AOC,L1,22-Jul-2023 01:12 PM,,,,,,,AOC
