Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Bid has been Opened,Saroj Kumar Satapathy,25-Jan-2023 12:33 PM,technical_424167.pdf,EIC_RWSS_ODISHA,Internal,CE_RWSS_ODISHA_CE_RWSS_CIRCLE_BALANGIR_ACE_RWSS_ODISHA_SE_RWSS_DIVISION_BALANGIR,Saroj Kumar Satapathy,16-Jul-2023 07:42 PM,finsummary_424167.pdf (529.52 KB),Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2023_RWSS_85021_1,BID 33 OF 2022 - 23,Execution of RPWS to village Lathakend Bichhubahali Bhutungpada Muribahal Suanbahal Kharkhara Budhabhata Ainlabhata under Belpada Block with 5 year Operation and maintenance.,1.0,2048246.0,Sanjaya Kumar Agrawal,INR,"92,253,844",16-Jul-2023,"INR 98,530,219",540.0,Saroj Kumar Satapathy,16-Jul-2023 07:43 PM,LATAKHEND.pdf (530.00 KB),L1 BIDDER HAS RESPOND,Finance,FINANCIAL BID HAS BEEN OPENED,Saroj Kumar Satapathy,20-Mar-2023 12:56 PM,finance_424167.pdf,BOQ Comparative Chart,1,2060154,ABHISEK KUMAR AGRAWAL,24-Jan-2023 04:10 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,16-Jul-2023 07:44 PM,EIC_RWSS_ODISHA,Internal,CE_RWSS_ODISHA_CE_RWSS_CIRCLE_BALANGIR_ACE_RWSS_ODISHA_SE_RWSS_DIVISION_BALANGIR,Saroj Kumar Satapathy,18-Mar-2023 09:45 PM,20-Mar-2023 11:00 AM,techsummary_424167.pdf (289.29 KB),AOC,SUPERINTENDING ENGINEER,SUPERINTENDING ENGINEER RWSS DIVISION BALANGIR,07-Jan-2023 03:00 PM,25-Jan-2023 11:00 AM,07-Jan-2023 03:00 PM,24-Jan-2023 05:00 PM,NA ,NA ,07-Jan-2023 03:00 PM,24-Jan-2023 05:00 PM,20-Mar-2023 11:00 AM,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID 33 OF 2022 - 23,2023_RWSS_85021_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"9,85,302",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, GST,PAN, Contractor Registration certificate, Experience certificate, etc",Execution of RPWS to village Lathakend Bichhubahali Bhutungpada Muribahal Suanbahal Kharkhara Budhabhata Ainlabhata under Belpada Block with 5 year Operation and maintenance.,Execution of RPWS to village Lathakend Bichhubahali Bhutungpada Muribahal Suanbahal Kharkhara Budhabhata Ainlabhata under Belpada Block with 5 year Operation and maintenance.,PLEASE REFER DTCN ,NA ,"9,85,30,219",Civil Works - Water Works,WATER SUPPLY ,Tender,180.0,540.0,DIFFERENT VILLAGES OF BELPADA BLOCK,767026.0,NA ,NA ,NA ,O/O SUPERINTENDING ENGINEER RWSS DIVISION BALANGIR,No ,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2058717,AJAY INFRA AND CONSTRUCTION PVT LTD,23-Jan-2023 09:32 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,16-Jul-2023 07:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other document as per DTCN,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2060254,BIKRAM KUMAR GUPTA,24-Jan-2023 04:18 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,16-Jul-2023 07:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2059001,MITTAL INFRAPROJECTS,24-Jan-2023 12:32 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,16-Jul-2023 07:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2059929,RANJAN KUMAR ROUT,24-Jan-2023 01:09 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,16-Jul-2023 07:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2048246,Sanjaya Kumar Agrawal,20-Jan-2023 06:13 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,16-Jul-2023 07:44 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
