S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak",(24) IMPROVEMENT TO DASAMOUZA CANAL FROM RD.30.00KM. TO 31.00KM.,Canal improvement,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,90.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,17-Feb-2023 11:00 AM,06-Mar-2023 11:00 AM,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,17-Feb-2023 11:00 AM ,23-Feb-2023 05:00 PM ,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,"6,000",Nil,Nil,No,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.7 / 2022-23,2023_SCDBH_86289_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate","19,500",Yes,fixed,,Nil,Nil,AOC,1,2095142,Ajit Kumar Lenka,04-Mar-2023 01:33 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,14-Jul-2023,"INR 1,657,516",90.0,PRASANTA KUMAR PATEL,14-Jul-2023 08:47 PM,24..pdf (347.00 KB),Contract Awarded,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the SE, Salandi Canal Division, Bhadrak",Dipak Kumar Samal,27-Apr-2023 04:27 PM,techsummary_429128.pdf (358.49 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_86289_24,e-Procurement Notice No.7 / 2022-23,(24) IMPROVEMENT TO DASAMOUZA CANAL FROM RD.30.00KM. TO 31.00KM.,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the SE, Salandi Canal Division, Bhadrak",Dipak Kumar Samal,27-Apr-2023 04:32 PM,finsummary_429128.pdf (358.49 KB),Finance,Uploaded documents of all the bidders have been downloaded successfully.,Raikan Besra,06-Mar-2023 08:09 PM,finance_429128.pdf,BOQ Comparative Chart,1.0,2086260.0,MANAS RANJAN NATH,INR,"1,657,516",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,AOC,2,2094637,ASHOK KUMAR PUHAN,03-Mar-2023 01:09 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,AOC,3,2093838,Bhabatosh Das,03-Mar-2023 08:54 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2094842,BISHNU CHARAN MOHAPATRA,03-Mar-2023 05:36 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2090054,Biswanath Barik,01-Mar-2023 07:49 AM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2095159,Chitaranjan Nayak,04-Mar-2023 01:03 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2095415,JYOTSNARANI KANUNGO,04-Mar-2023 04:48 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2086260,MANAS RANJAN NATH,21-Feb-2023 05:36 PM,Accepted-AOC,Won the lottery,14-Jul-2023 08:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2094782,NIRAKAR JENA(S.C),03-Mar-2023 04:23 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2091491,Pradumn Kumar Saha,01-Mar-2023 12:33 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
