Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,"1,93,100",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,09/OPHWC/2023-24,2023_OSPHW_89239_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Cluster of 1. Construction of 3 Nos. D type Qtr. at DHQR. Chhatrapur, 2. Construction of Boundary Wall at Reserve Police Ground at Chhatrapur and 3.Constn. of K-9 Kennel cum office building at Chhatrapur, Ganjam.",Building Work,Please refer Tender documents  ,NA ,"1,93,13,838",Civil Works - Buildings,NA ,Tender,90.0,180.0,GANJAM,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,24-May-2023 09:00 AM,08-Jun-2023 11:00 AM,24-May-2023 09:00 AM,07-Jun-2023 05:00 PM,24-May-2023 09:00 AM ,29-May-2023 05:00 PM ,24-May-2023 09:00 AM,07-Jun-2023 05:00 PM,16-Jun-2023 11:00 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,AOC,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,10-Jul-2023 01:43 PM,finsummary_438855.pdf (775.96 KB),10-Jul-2023,"INR 19,209,543",180.0,Bikram Keshari Malla,10-Jul-2023 01:45 PM,WORK.pdf (550.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 07-07-2023,Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,16-Jun-2023 12:03 PM,,BOQ Comparative Chart,Technical,SINGLE BIDDER HAS PARTICIPATED,Bikram Keshari Malla,08-Jun-2023 01:17 PM,,1.0,2152972.0,Satya Brata Pattnaik,03-Jun-2023 09:26 PM,Accepted-AOC,QUALIFIED BIDDER,10-Jul-2023 01:45 PM,1.0,2152972.0,Satya Brata Pattnaik,INR,"19,209,543",Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_89239_6,09/OPHWC/2023-24,"Cluster of 1. Construction of 3 Nos. D type Qtr. at DHQR. Chhatrapur, 2. Construction of Boundary Wall at Reserve Police Ground at Chhatrapur and 3.Constn. of K-9 Kennel cum office building at Chhatrapur, Ganjam.",AS PER TC MINUTES,Internal,AS PER TC MINUTES,Bikram Keshari Malla,15-Jun-2023 07:35 PM,16-Jun-2023 11:00 AM,techsummary_438855.pdf (106.33 KB),AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
