Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,46/OPHWC/2022-23,2023_OSPHW_84895_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,"CLUSTER OF CONSTRUCTION OF DIFFERENT WORKS AT CIRCLE JAIL, BERHAMPUR",Building Work,Please refer Tender documents  ,NA ,"3,06,61,296",Civil Works - Buildings,NA ,Tender,90.0,360.0,BERHAMPUR,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR-22,0.0,No,fixed,,Nil,Nil,02-Jan-2023 05:00 PM,17-Jan-2023 11:00 AM,02-Jan-2023 05:00 PM,16-Jan-2023 05:00 PM,02-Jan-2023 05:00 PM ,05-Jan-2023 05:00 PM ,02-Jan-2023 05:00 PM,16-Jan-2023 05:00 PM,08-Feb-2023 11:00 AM,AOC,Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_84895_6,46/OPHWC/2022-23,"CLUSTER OF CONSTRUCTION OF DIFFERENT WORKS AT CIRCLE JAIL, BERHAMPUR",1.0,2053432.0,KALU CHARAN JENA,INR,"30,661,295",AS PER TC MINUTES,Internal,AS PER TC MINUTES,Bikram Keshari Malla,07-Feb-2023 04:37 PM,08-Feb-2023 11:00 AM,techsummary_423693.pdf (364.76 KB),AS PER ACCEPTANCE LETTER,Internal,AS PER ACCEPTANCE LETTER,Bikram Keshari Malla,18-Jul-2023 04:37 PM,finsummary_423693.pdf (789.88 KB),18-Jul-2023,"INR 30,661,295",360.0,Bikram Keshari Malla,18-Jul-2023 04:39 PM,WORKL.pdf (648.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 04.03.2023,Technical,3 NOS. OF BIDDERS PARTICIPATED,Bikram Keshari Malla,17-Jan-2023 11:49 AM,,1,2053432,KALU CHARAN JENA,16-Jan-2023 04:33 PM,Accepted-AOC,QUALIFIEDBIDDER,18-Jul-2023 04:39 PM,Finance,PRICE BID OPENED,Bikram Keshari Malla,08-Feb-2023 11:16 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2052046,PRABHAKAR GOUDA,16-Jan-2023 02:52 PM,Rejected-Technical,Due to- 1.Non availability of adequate similar nature of work as per DTCN clause no-11 and 110 (J).,07-Feb-2023 04:37 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2052392,Sudhansu Padhy,15-Jan-2023 09:05 PM,Rejected-Finance,DUE TO L2 BIDDER,18-Jul-2023 04:37 PM,,,,,,,AOC
