Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_85208_5,50/OPHWC/2022-23,"Constn. of 6 Nos. E type Qtr. At- Th.Rampur P.S, Kalahandi",1.0,2062552.0,ABHIMANYU NAIK,INR,"14,130,920",AS PER TC MINUTES,Internal,AS PER TC MINUTES,Bikram Keshari Malla,04-Feb-2023 04:42 PM,06-Feb-2023 11:00 AM,techsummary_424757.pdf (249.99 KB),AS PER ACCEPTANCE LETTER,Internal,AS PER ACCEPTANCE LETTER,Bikram Keshari Malla,18-Jul-2023 04:30 PM,finsummary_424757.pdf (671.33 KB),18-Jul-2023,"INR 14,130,920",300.0,Bikram Keshari Malla,18-Jul-2023 04:31 PM,WORKDY.pdf (656.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 16.03.2023,1.0,2062552.0,ABHIMANYU NAIK,27-Jan-2023 01:55 PM,Accepted-AOC,QUALIFIED BIDDER,18-Jul-2023 04:31 PM,Technical,2 NOS. OF BIDDERS PARTICIPATED,Bikram Keshari Malla,30-Jan-2023 12:27 PM,,Finance,FINANCE BID OPENED,Bikram Keshari Malla,06-Feb-2023 11:12 AM,,BOQ Comparative Chart,AOC,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"Constn. of 6 Nos. E type Qtr. At- Th.Rampur P.S, Kalahandi",Building Work,Please refer Tender documents ,NA ,"1,56,99,278",Civil Works - Buildings,NA ,Tender,90.0,300.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,Orissa State Police Housing and Welfare Corporation Ltd,50/OPHWC/2022-23,2023_OSPHW_85208_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,12-Jan-2023 06:55 PM,30-Jan-2023 11:00 AM,12-Jan-2023 06:55 PM,27-Jan-2023 05:00 PM,12-Jan-2023 06:55 PM ,16-Jan-2023 05:00 PM ,12-Jan-2023 06:55 PM,27-Jan-2023 05:00 PM,06-Feb-2023 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2061205.0,KRUSHNA CHANDRA PARIDA,27-Jan-2023 12:28 PM,Rejected-Finance,DUE TO L2 BIDDER BUT SC BIDDER GET THE WORK AT L1 RATE,18-Jul-2023 04:30 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
