Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Cuttack,2023_OSCSC_88126_1,1126_9/17.04.2023,TENDER CALL NOTICE N TENDER DOCUMENTS FOR SELECTION AND APPOINTMENT OF LEVEL -II TRANSPORT CONTRACTOR OF BARANGA UNIT FOR BIENNIAL 2023-25,1.0,2126567.0,SANTOSH KUMAR BISWAL,INR,25.03,COLLECTOR CUTTACK,Internal,"ADM GEN, CUTTACK, DLO CUTTACK , DSWO, CUTTACK, RTO, CUTTACK, CSO CUM DM, OSCSC LTD CUTTACK",Manas Ranjan Mohapatra,11-May-2023 03:24 PM,12-May-2023 12:30 PM,techsummary_434957.pdf (1976.43 KB),COLLECTOR CUTTACK,Internal,"RTO, CUTTACK, DSWO, CUTTACK, DLO, CUTTACK, CSO CUM DM, OSCSC LTD., CUTTACK",Manas Ranjan Mohapatra,07-Jul-2023 05:35 PM,finsummary_434957.pdf (1693.68 KB),17-Jul-2023,"INR 2,580,145",631.0,Jaminikanta Mohapatra,18-Jul-2023 02:43 PM,L2SANTOSHBISWALBARANGA.pdf (819.00 KB),Sri Santosh Kumar Biswal is selected as lowest bidder for L-II Transport Contractor of Baranga Unit for the biennial 2023-25,1,2126738,NAYAK BROTHERS,02-May-2023 07:00 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 05:35 PM,Technical,All Bidders of Baranga Block are admitted for Technical Bid,Manas Ranjan Mohapatra,11-May-2023 03:06 PM,,Finance,ALL BIDDERS ARE ALLOWED,Jaminikanta Mohapatra,27-Jun-2023 12:30 PM,,BOQ Comparative Chart,AOC,19-Apr-2023 02:00 PM,04-May-2023 11:30 AM,19-Apr-2023 02:00 PM,03-May-2023 05:30 PM,NA ,NA ,19-Apr-2023 02:00 PM,03-May-2023 05:30 PM,12-May-2023 12:30 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,NIT N DTCN FOR APPOINTMENT OF LEVEL -II TRANSPORT CONTRACTOR OF BARANGA UNIT FOR BIENNIAL 2023-25,"5,900",0.0,Nil,Nil,No,"1,29,008",No,fixed,,Nil,Nil,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Cuttack,1126_9/17.04.2023,2023_OSCSC_88126_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,TENDER CALL NOTICE N TENDER DOCUMENTS FOR SELECTION AND APPOINTMENT OF LEVEL -II TRANSPORT CONTRACTOR OF BARANGA UNIT FOR BIENNIAL 2023-25,TRANSPORTATION OF FOODGRAINS FROM RRC BRAHMANJHARILO TO ALL FPS OF BARANGA UNIT,PL REFER TO TENDER DOCUMENTS ,NA ,,Handling and Transportation,NA ,Tender,45.0,730.0,FROM RRC BRAHMANJHARILO TO ALL FPS OF BARANGA UNIT,753002.0,"OFFICE OF CCSO-CUM-DM, OSCSC LTD., CUTTACK ","OFFICE OF THE CCSO-CUM-DM, OSCSC LTD., COLLECTORATE, CUTTACK ",21-Apr-2023 11:30 AM ,"OFFICE OF CCSO-CUM-DM, OSCSC LTD., CUTTACK",No ,No,"CCSO-CUM-DISTRICT MANAGER, OSCSC LTD., CUTTACK","OFFICE OF THE CCSO-CUM-DM, OSCSC LTD., COLLECTORATE, CUTTACK",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2127492,P.N. TRANSPORT,02-May-2023 06:26 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 05:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ FOR SELECTION N APPOINTMENT OF LEVEL -II TRANSPORT CONTRACTOR OF BARANGA UNIT FOR BIENNIAL 23-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2127438,RA TRADING,02-May-2023 07:11 PM,Rejected-Finance,NOT SELECTED IN LOTTERY,07-Jul-2023 05:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2126567,SANTOSH KUMAR BISWAL,03-May-2023 03:04 PM,Accepted-AOC,Lowest Bidding rate,18-Jul-2023 02:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2125955,Sri Bikramaditya Kar,01-May-2023 09:28 PM,Rejected-Finance,HIGHER BIDDING RATE,07-Jul-2023 05:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2117663,Sri Nilamadhab Khuntia,01-May-2023 07:48 PM,Rejected-Finance,HIGHER BIDDING RATE,07-Jul-2023 05:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
