S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2117506.0,UMA KANTA NAIK,INR,"1,125,296.25",ST and SC Development Deptt||ITDA Baliguda,2023_STSCD_87799_8,PA (ITDA)-BLG-1/23-24,Construction of ICT Education and Smart learning facility centre at GGHS Badagam under Balliguda Block,PA ITDA BALLIGUDA,Internal,AEE ITDA BALLIGUDA,MADHUSUDAN BEHERA,24-Apr-2023 11:38 AM,24-Apr-2023 11:40 AM,techsummary_433847.pdf (213.94 KB),PA ITDA BALLIGUDA,Internal,AEE ITDA BALLIGUDA,SUNDARSINGH BEHERA,05-Jul-2023 05:20 PM,finsummary_433847.pdf (324.77 KB),05-Jul-2023,"INR 1,125,296.25",90.0,SUNDARSINGH BEHERA,05-Jul-2023 05:22 PM,865.pdf (325.00 KB),It was found that Sri Uma Kanta Naik the Lowest tenderer so the committee unanimously decided to award the said work in favour of Sri Umakanta Naik,1,2117187,K PHAKIR MOHAN DORA,19-Apr-2023 06:02 PM,Rejected-Finance,It was found that Sri Uma Kanta Naik the Lowest tenderer so the committee unanimously decided to award the said work in favour of Sri Umakanta Naik,05-Jul-2023 05:20 PM,Technical,All documents are ok,MADHUSUDAN BEHERA,24-Apr-2023 11:04 AM,technical_433847.pdf,Finance,TOTAL TWO BIDDERS,SUNDARSINGH BEHERA,05-Jul-2023 05:17 PM,finance_433847.pdf,BOQ Comparative Chart,AOC,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,"12,500",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Detail Tender Call Notice,PA ITDA BALLIGUDA,ITDA BALLIGUDA,Construction of ICT Education and Smart learning facility centre at GGHS Badagam under Balliguda Block,Construction of ICT Education and Smart learning facility centre at GGHS Badagam under Balliguda Block.,Please refer Tender documents. ,NA ,"12,50,190",Civil Works - Buildings,NA ,Tender,90.0,90.0,GGHS Badagam under Balliguda Block,762103.0,NA ,NA ,NA ,PA ITDA BALLIGUDA,No ,No,ST and SC Development Deptt||ITDA Baliguda,PA (ITDA)-BLG-1/23-24,2023_STSCD_87799_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,12-Apr-2023 05:00 PM,21-Apr-2023 11:00 AM,12-Apr-2023 05:00 PM,20-Apr-2023 05:00 PM,NA ,NA ,12-Apr-2023 05:00 PM,20-Apr-2023 05:00 PM,24-Apr-2023 11:40 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2117506,UMA KANTA NAIK,20-Apr-2023 07:29 AM,Accepted-AOC,It was found that Sri Uma Kanta Naik the Lowest tenderer so the committee unanimously decided to award the said work in favour of Sri Umakanta Naik,05-Jul-2023 05:22 PM,,,,,,,,,,,,AOC,,,,,,2,ICICI NEFT/RTGS,,,,,,,2,Finance,.xls,Bills of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
