S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2142311.0,PRASANTA KUMAR GUIN,INR,"4,337,592.79",Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bhadrak,2023_OSCSC_88382_1,1907.0,APPOINTMENT OF LII TC FOR CHANDBALI BLOCK FOR THE YEAR 2023 25,COLLECTOR BHADRAK,Internal,CSO CUM DM BHADRAK DLO BHADRAK DSWO BHADRAK RTO BHADRAK,Ratikanta Sial,02-Jun-2023 07:40 AM,02-Jun-2023 11:00 AM,techsummary_435741.pdf (8166.55 KB),COLLECTOR BHADRAK,Internal,CSO CUM DM BHADRAK DLO BHADRAK RTO BHADRAK DSWO BHADRAK,Ratikanta Sial,28-Jun-2023 04:25 PM,finsummary_435741.pdf (3922.84 KB),05-Jul-2023,"INR 5,102,450.05",730.0,Ratikanta Sial,25-Jul-2023 11:23 AM,AOCLII.pdf (946.00 KB),AOC FOR CHANDBALI BLOCK,1,2142458,ALOK RANJAN PANDA,20-May-2023 10:23 PM,Rejected-Finance,REJECTED IN LOTTERY,28-Jun-2023 04:25 PM,Technical,ALL THE ABOVE BIDDERS ARE PARTICIPATED IN E TENDER FOR CHANDBALI BLOCK,Ratikanta Sial,02-Jun-2023 07:37 AM,,Finance,ALL THE ABOVE BIDDERS ARE PARTICIPATED IN PRICE BID,Ratikanta Sial,28-Jun-2023 03:06 PM,,BOQ Comparative Chart,AOC,"5,900",0.0,Nil,Nil,No,28-Apr-2023 10:00 AM,26-May-2023 10:00 AM,28-Apr-2023 10:00 AM,22-May-2023 05:00 PM,28-Apr-2023 10:00 AM ,29-Apr-2023 09:30 AM ,28-Apr-2023 10:00 AM,22-May-2023 05:00 PM,02-Jun-2023 11:00 AM,1,ICICI BANK,APPOINTMENT OF LII TC FOR CHANDBALI BLOCK FOR THE YEAR 2023 25,TRANSPORTATION OF FOOD GRAINS FROM RRC POINT TO RETAIL POINT,TRANSPORTATION OF FOOD GRAINS FROM RRC POINT TO RETAIL POINT ,NA ,,Handling and Transportation,HANDLING AND TRANSPORTATION ,Tender,45.0,730.0,BHADRAK DISTRICT,756100.0,CSO OFFICE BHADRAK ,CSO OFFICE BHADRAK ,29-Apr-2023 10:00 AM ,COLLECTORATE BHADRAK,No ,No,CSO CUM DISTRICT MANAGER BHADRAK,COLLECTOR BHADRAK RTO BHADRAK DLO BHADRAK DSWO BHADRAK,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bhadrak,1907.0,2023_OSCSC_88382_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"2,55,123",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,DTCN FOR LII TC FOR CHANDBALI BLOCK FOR THE YEAR 2023 25,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2142311,PRASANTA KUMAR GUIN,20-May-2023 06:17 PM,Accepted-AOC,LI BIDDER,25-Jul-2023 11:23 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ FOR LII TC FOR CHANDBALI BLOCK,AOC
