Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Selection and Appointment of Level-II Transport Contractor for Sadar block for 2023-25,Selection and Appointment of Level-II Transport Contractor for Sadar block for transportation of CMR from RRC to FPS.,Please refer Tender documents. ,NA ,"91,69,288",Handling and Transportation,Transportataion ,Tender,700.0,45.0,Balasore,756001.0,Office of the District Manager OSCSC Ltd Balasore ,Office of the District Manager OSCSC Ltd Balasore ,17-May-2023 10:00 AM ,Office of the District Manager OSCSC Ltd Balasore,No ,No,"4,58,464",No,percentage,5.0%,Nil,Nil,District Manager OSCSC Ltd Balasore,District Manager OSCSC Ltd Balasore,1.0,ICICI BANK,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Balasore,1095 / 09.05.2023,2023_OSCSC_88881_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"5,900",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NOTICE INVITING TENDER,12-May-2023 05:00 PM,29-May-2023 10:00 AM,12-May-2023 06:00 PM,26-May-2023 05:00 PM,13-May-2023 10:00 AM ,17-May-2023 10:00 AM ,13-May-2023 10:00 AM,26-May-2023 05:00 PM,12-Jun-2023 09:00 AM,AOC,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Balasore,2023_OSCSC_88881_1,1095 / 09.05.2023,Selection and Appointment of Level-II Transport Contractor for Sadar block for 2023-25,1.0,2144965.0,DIPTIKANTA SAHOO,INR,"7,795,714",SriDattatrayaBhausahebShindeColletor,External,PradyumnaKumarRoutrayCSO PravatKumarBhattaARTO DiptiRanjanSahooALO KuntalaKumarMallickDSWO,Pradyumna Kumar Routray,09-Jun-2023 07:43 PM,12-Jun-2023 09:00 AM,techsummary_437425.pdf (787.31 KB),17-Jul-2023,"INR 7,795,714",265.0,Pradyumna Kumar Routray,17-Jul-2023 08:57 PM,SadarAOC.pdf (592.00 KB),Selected,SriDattatrayaBhausahebShindeColletor,External,PradyumnaKumarRoutrayCSO PravatKumarBhattaARTO KuntalaKumarMallickDSWO DiptiRanjanSahuALO,Pradyumna Kumar Routray,17-Jul-2023 08:53 PM,finsummary_437425.pdf (593.89 KB),Finance,Admitted,Pradyumna Kumar Routray,07-Jul-2023 06:42 PM,,BOQ Comparative Chart,Technical,Admitted,Pradyumna Kumar Routray,09-Jun-2023 07:30 PM,,1,2145561,CHITTARANJAN SAHOO,26-May-2023 03:21 PM,Rejected-Technical,Incomplete Declaration in Annexure-6(b),09-Jun-2023 07:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITIES,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2144965,DIPTIKANTA SAHOO,25-May-2023 12:49 AM,Accepted-AOC,Selected,17-Jul-2023 08:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2140561,KALPANA MOHAPATRA,25-May-2023 01:59 AM,Rejected-Finance,Lowest-3,17-Jul-2023 08:53 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2140544,NITYANANDA PATTANAYAK,25-May-2023 01:45 AM,Rejected-Finance,Lowest-2,17-Jul-2023 08:53 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2144946,PRADEEP KUMAR BEHERA,25-May-2023 01:41 AM,Rejected-Technical,Incomplete Declaration in Annexure-6(b),09-Jun-2023 07:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2147358,SANJIB KUMAR NAYAK,26-May-2023 12:50 PM,Rejected-Technical,Incomplete Declaration in Annexure-6(b),09-Jun-2023 07:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2144752,Santosh Kumar Sahu,25-May-2023 02:23 AM,Rejected-Finance,Rejected through lottery system,17-Jul-2023 08:53 PM,AOC
