Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||SALEPUR Block,2023_PRBSE_87337_1,SLB-02/2022-23,CONSTRUCTION OF SUB CENTRE AT BHATAPADA,1.0,2110694.0,SUDHAKAR SAHOO,INR,"2,641,966","BDO, Salipur",Internal,"AEE, Salipur, AO, Salipur CP, salipur, AE salipur, JE salipur",Bibhuti Bhusan Nayak,18-Jul-2023 01:34 PM,techsummary_432636.pdf (165.13 KB),Finance,After verification of documents all bidders are admitted,Bibhuti Bhusan Nayak,18-Jul-2023 01:03 PM,,BOQ Comparative Chart,"BDO, Salipur",Internal,"AEE, salipur, AO, Salipur, CP Salipur, AE salipur, JE salipur",Bibhuti Bhusan Nayak,20-Jul-2023 01:04 PM,finsummary_432636.pdf (165.13 KB),20-Jul-2023,"INR 2,641,966",240.0,Suryakanta Rout,20-Jul-2023 02:44 PM,Nandola.pdf (165.00 KB),AOC is awarded to L1 bidder,1,2112413,BHRAMAR BARA BEHERA,11-Apr-2023 06:05 PM,Rejected-Finance,L2 Rejected,20-Jul-2023 01:04 PM,AOC,"6,000",Nil,Nil,No,CONSTRUCTION OF SUB CENTRE AT BHATAPADA,CONSTRUCTION OF SUB CENTRE BUILDING,Please refer Tender documents. ,NA ,"28,57,724",Civil Works - Buildings,NA ,Tender,90.0,240.0,"BAHTAPADA VILLAGE, NANDOLA GP",754202.0,NA ,NA ,NA ,Salipur block,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,BDO SALIPUR,PANCHAYTA SAMITI SALIPUR,"29,000",No,fixed,,Nil,Nil,1,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||SALEPUR Block,SLB-02/2022-23,2023_PRBSE_87337_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,29-Mar-2023 10:00 AM,17-Apr-2023 11:30 AM,29-Mar-2023 10:00 AM,12-Apr-2023 05:00 PM,29-Mar-2023 10:00 AM ,12-Apr-2023 03:00 PM ,29-Mar-2023 10:00 AM,12-Apr-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2110694,SUDHAKAR SAHOO,09-Apr-2023 11:10 AM,Accepted-AOC,L1 bidder is selected,20-Jul-2023 02:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
