block_lgd,dtname,dtcode11,block_name,object_id,block_area,max,mean,count,sum
03421,Kalahandi,395,THUAMUL RAM PUR,21-395-03421,1111,0.4714571278572083,0.3811638272324332,963,367.06076562483315
03422,Kandhamal,390,BALIGUDA,21-390-03422,852,0.4399647632598877,0.3711686494745546,741,275.03596926064495
03423,Kandhamal,390,CHAKAPAD,21-390-03423,427,0.41908611149787905,0.3946779531476332,374,147.60955447721483
03424,Kandhamal,390,DARINGIBADI,21-390-03424,1330,0.36862018690109255,0.32369214411213837,1148,371.59858144073485
03425,Kandhamal,390,G.UDAYAGIRI,21-390-03425,209,0.41908611149787905,0.36157357566223464,179,64.72167004354
03426,Kandhamal,390,K.NUAGAN,21-390-03426,636,0.41998077141046525,0.400007289678,547,218.803987453866
03427,Kandhamal,390,KHAJURIPADA,21-390-03427,625,0.41908611149787905,0.345797824215137,539,186.38502725195883
03428,Kandhamal,390,KOTAGARH,21-390-03428,853,0.36862018690109255,0.3287899448176927,736,241.98939938582183
03429,Kandhamal,390,PHIRINGIA,21-390-03429,1094,0.4399647632598877,0.36293835308365413,953,345.88025048872237
03430,Kandhamal,390,PHULBANI,21-390-03430,429,0.41908611149787905,0.3635600863270082,373,135.60791219997407
03431,Kandhamal,390,RAIKIA,21-390-03431,532,0.41908611149787905,0.34928833486757943,458,159.97405736935139
03432,Kandhamal,390,TIKABALI,21-390-03432,275,0.41908611149787905,0.41329483270767414,234,96.71099085359575
03433,Kandhamal,390,TUMUDIBANDH,21-390-03433,758,0.3608007206439972,0.3567568051815581,653,232.96219378355744
03434,Kendrapara,379,AUL,21-379-03434,226,0.47048601408004764,0.4529880740963683,196,88.78566252288819
03435,Kendrapara,379,DERABISH,21-379-03435,171,0.49224642958641057,0.40008954215463005,150,60.01343132319451
03436,Kendrapara,379,GARADAPUR,21-379-03436,137,0.4004842405319214,0.3938637135265166,114,44.900463342022896
03437,Kendrapara,379,KENDRAPADA,21-379-03437,247,0.4004842405319214,0.3888892370259158,217,84.38896443462373
03438,Kendrapara,379,MAHAKALAPADA,21-379-03438,523,0.42566114759445195,0.32129738134289837,455,146.19030851101877
03439,Kendrapara,379,MARSAGHAI,21-379-03439,148,0.4004842405319214,0.3892175298180691,129,50.209061346530916
03440,Kendrapara,379,PATTAMUNDAI,21-379-03440,282,0.47048601408004764,0.40750112133430233,236,96.17026463489535
03441,Kendrapara,379,RAJKANIKA,21-379-03441,262,0.47048601408004764,0.45535731306838995,225,102.45539544038773
03442,Kendrapara,379,RAJNAGAR,21-379-03442,537,0.4511806528091431,0.4246283204159324,473,200.84919555673602
03443,Kendujhar,375,ANANDAPUR,21-375-03443,568,0.9408164469718934,0.5906878797070381,489,288.8463731767416
03444,Kendujhar,375,BANSAPAL,21-375-03444,1285,1.0555146649599076,0.4737016891101626,1125,532.9144002489329
03445,Kendujhar,375,CHAMPUA,21-375-03445,449,0.5707102021217346,0.5554559727830154,390,216.627829385376
03446,Kendujhar,375,GHASIPURA,21-375-03446,369,0.5195281219005585,0.4946693605094222,322,159.28353408403393
03447,Kendujhar,375,GHATGAON,21-375-03447,843,1.0555146649599076,0.9090149366073313,736,669.0349933429959
03448,Kendujhar,375,HARICHADANPUR,21-375-03448,1014,1.0555146649599076,0.5746447063769748,882,506.8366310244918
03449,Kendujhar,375,HATADIHI,21-375-03449,435,0.9408164469718934,0.37101342847322155,380,140.9851028198242
03450,Kendujhar,375,JHUMPURA,21-375-03450,463,0.5707102021217346,0.5342009357097672,410,219.02238364100455
03451,Kendujhar,375,JODA,21-375-03451,677,0.6360756912231446,0.5854892310979621,587,343.6821786545038
03452,Kendujhar,375,KENDUJHAR SADAR,21-375-03452,568,1.0555146649599076,0.6205631087811077,491,304.69648641152384
03453,Kendujhar,375,PATANA,21-375-03453,426,1.0555146649599076,0.6420172039873159,373,239.47241708726884
03454,Kendujhar,375,SAHARAPADA,21-375-03454,322,0.7967296227216721,0.6592942272786992,281,185.26167786531448
03455,Kendujhar,375,TELKOI,21-375-03455,881,0.5324962577819824,0.4383361800718927,770,337.51885865535735
03456,Khordha,386,BALIANTA,21-386-03456,135,0.5282917901039124,0.5214606981694198,119,62.05382308216095
03457,Khordha,386,BALIPATNA,21-386-03457,142,0.5282917901039124,0.46395118025779725,120,55.67414163093567
03458,Khordha,386,BANAPUR,21-386-03458,490,0.37154669892787934,0.20982438779283075,423,88.7557160363674
