S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3028536.0,GHANSHYAM DAS MURARKA,INR,"13,912,398",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_115875_45,08/OPHWC/2025-26,Constn. of 6 F type Staff Qtrs. at Jharsuguda Fire Station in Jharsuguda District,1,3024901,ARIA INFRA PROJECTS PRIVATE LIMITED,05-Aug-2025 05:26 PM,Rejected-Finance,DUE TO L2 BIDDER,24-Oct-2025 04:46 PM,24-Oct-2025,"INR 13,912,398",365.0,Bikram Keshari Malla,24-Oct-2025 04:49 PM,JHARSUGUDA_WO.pdf (79.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 22.10.2025,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,24-Oct-2025 04:46 PM,finsummary_547243.pdf (600.29 KB),Technical,5 Nos. of bidders have been participated,Bikram Keshari Malla,16-Aug-2025 11:46 AM,,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,16-Sep-2025 06:10 PM,17-Sep-2025 10:30 AM,techsummary_547243.pdf (367.53 KB),Finance,financial bid opened,Bikram Keshari Malla,17-Sep-2025 11:18 AM,,BOQ Comparative Chart,AOC,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"1,57,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",24-Jul-2025 06:00 PM,11-Aug-2025 10:30 AM,24-Jul-2025 06:00 PM,08-Aug-2025 05:00 PM,NA ,NA ,24-Jul-2025 06:00 PM,08-Aug-2025 05:00 PM,17-Sep-2025 10:30 AM,Constn. of 6 F type Staff Qtrs. at Jharsuguda Fire Station in Jharsuguda District,Building Work,Please refer Tender documents  ,NA ,"1,57,64,757",Civil Works - Buildings,NA ,Tender,90.0,365.0,Jharsuguda,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,Orissa State Police Housing and Welfare Corporation Ltd,08/OPHWC/2025-26,2025_OSPHW_115875_45,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,3028536,GHANSHYAM DAS MURARKA,08-Aug-2025 02:40 PM,Accepted-AOC,QUALIFIED BIDDER,24-Oct-2025 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3020954,Haresh Kumar Agrawal,08-Aug-2025 11:08 AM,Rejected-Finance,DUE TO L3 BIDDER,24-Oct-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3027531,isar engineers pvt ltd,08-Aug-2025 11:30 AM,Rejected-Technical,non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m),16-Sep-2025 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3023801,VISHAL RATHORE,04-Aug-2025 08:18 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110 (k).,16-Sep-2025 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
