Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, Affidavit, NRC, undertakings, GSTIN, PAN and any other documents as per SBD/DTCN",1.0,ICICI BANK,4. Construction of Dining Hall at Bhaliadihi as (100 ST Girls Hostel),Construction of Dining Hall at Bhaliadihi as (100 ST Girls Hostel),Please refer Tender documents. ,NA ,"25,78,161",Civil Works - Buildings,NA ,Tender,90.0,180.0,Narasinghpur,754032.0,NA ,NA ,NA ,"O/o the Panchayat Samiti, Narasinghpur",No ,No,"25,800",Yes,fixed,,Nil,Nil,02-Aug-2025 10:00 AM,16-Aug-2025 11:00 AM,02-Aug-2025 10:00 AM,14-Aug-2025 05:30 PM,NA ,NA ,02-Aug-2025 10:00 AM,14-Aug-2025 05:30 PM,Block Development Officer,"O/o the Panchayat Samiti, Narasinghpur, Cuttack",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NARASINGHPUR Block,NOTICE NO.NPS-03 OF 2025-26,2025_PRBN_116344_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,AOC,31-Oct-2025,"INR 2,191,695",180.0,PRALAYANANDA SATAPATHY,31-Oct-2025 03:56 PM,Bhaliadiha1.pdf (896.00 KB),Block Development Officer,Internal,,PRALAYANANDA SATAPATHY,18-Sep-2025 09:42 AM,finsummary_548056.pdf (1513.12 KB),Finance,"On opening of the Technical and Financial Bid, it is found that all the 20 bidders have been participated in the tender",PRALAYANANDA SATAPATHY,16-Aug-2025 05:42 PM,,BOQ Comparative Chart,1,3032169,ABHAYA KUMAR SAHOO,11-Aug-2025 06:47 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,1.0,3025360.0,DIPAK MALIK,INR,"2,191,695",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NARASINGHPUR Block,2025_PRBN_116344_4,NOTICE NO.NPS-03 OF 2025-26,4. Construction of Dining Hall at Bhaliadihi as (100 ST Girls Hostel),Block Development Officer,Internal,,PRALAYANANDA SATAPATHY,18-Sep-2025 09:10 AM,techsummary_548056.pdf (1513.12 KB),AOC
,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3036098,AJIT KUMAR NAYAK,14-Aug-2025 03:13 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3036245,ALOKRANJAN BHOI,14-Aug-2025 04:48 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3028725,ARPITA SARGAM SAHOO,08-Aug-2025 03:59 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3035858,BASANTA BARAL,14-Aug-2025 01:48 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3033820,BHARATI SETHI,12-Aug-2025 06:40 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3033883,BIBHUTI BHUSAN NAYAK,12-Aug-2025 07:39 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3032095,BISWARANJAN SAHOO,11-Aug-2025 06:07 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3025360,DIPAK MALIK,06-Aug-2025 12:13 PM,Accepted-AOC,Work order has issued in his favour,31-Oct-2025 03:56 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3034301,LAXMIKANT SAHOO,13-Aug-2025 11:08 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,18-Sep-2025 09:42 AM,,,,,,,,,,,,,,,,AOC
