Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"4,720",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of Registration Certificate, PAN, GSTIN, Cost of Bid Online,EMD and JV Details as per DTCN","8,270",Yes,percentage,1.0%,Nil,Nil,"Executive Engineer, L.I. Division, Berhampur","O/o the Executive Engineer, L.I. Division, Berhampur, 1st Gate, Berhampur, Po- Panigrahy Pentho, Dist- Ganjam, Odisha, Pin- 760006",S B Pur-III T/W,Revival and Energisation of L.I. Project,Please refer Tender documents ,NA ,"8,27,000",Civil Works - Lift Irrigation Schemes,Lift Irrigation Projects ,Tender,365.0,120.0,S B Pur under Chatrapur Block,760006.0,NA ,NA ,NA ,"O/o Executive Engineer, L.I. Division, Berhampur",No ,No,17-Apr-2025 12:00 PM,28-Apr-2025 12:00 PM,17-Apr-2025 12:00 PM,26-Apr-2025 05:00 PM,17-Apr-2025 12:00 PM ,24-Apr-2025 05:00 PM ,17-Apr-2025 12:00 PM,26-Apr-2025 05:00 PM,1.0,ICICI BANK,Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Berhampur,02/2025-26 OLIC (BAM),2025_OLIC_112565_41,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,15-Oct-2025,"INR 829,487",120.0,AJAY KUMAR MAHAKUD,15-Oct-2025 12:18 PM,Package41.pdf (409.00 KB),Awarded,1,2895091,Bhaskar Swain,25-Apr-2025 06:48 PM,Rejected-AOC,Reject,15-Oct-2025 12:18 PM,"Executive Engineer,L.I.Division,Berhampur",Internal,"Estimator,L.I.Division,Berhampur,Divisional Accountant,L.I.Division,Berhampur",Sibarama Panda,06-Sep-2025 05:09 PM,techsummary_536867.pdf (406.46 KB),Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Berhampur,2025_OLIC_112565_41,02/2025-26 OLIC (BAM),S B Pur-III T/W,"Executive Engineer,L.I.Division,Berhampur",Internal,"Estimator,L.I.Division,Berhampur,Divisional Accountant,L.I.Division,Berhampur",AJAY KUMAR MAHAKUD,15-Oct-2025 12:11 PM,finsummary_536867.pdf (406.49 KB),Finance,Five Bidder are Admitted,Sibarama Panda,01-May-2025 12:06 PM,,BOQ Comparative Chart,1.0,2893859.0,Narayan Behera,INR,"744,300.9",AOC
,,,,,,,.pdf,"Affidavit, Registration Documents of JV, Forms- A to G etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,2,2893880,CHANDAN ELECTRICAL WORKS,25-Apr-2025 01:39 AM,Rejected-AOC,Reject,15-Oct-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2895761,M/S. BALIYARSINGH ELECTRICAL ENGINEERING & CONSTRUCTION,26-Apr-2025 03:06 PM,Rejected-AOC,Reject,15-Oct-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2893859,Narayan Behera,24-Apr-2025 05:06 PM,Accepted-AOC,Accept,15-Oct-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2895216,PRADEEP KUMAR PATRO,25-Apr-2025 08:51 PM,Rejected-AOC,Reject,15-Oct-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
