S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,2740207.0,M/s. EASTERN ENGINEERING,INR,"3,565,352.18",Finance,Fourteen bidders participated. Six nos bidder not qualified technically hence rejected. Detailed upload document for reference.,Sanjukta Sa,29-Mar-2025 07:06 PM,finance_523263.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Asst. Executive Engineer,Sanjukta Sa,08-Oct-2025 05:58 PM,finsummary_523263.pdf (1906.08 KB),Municipal Bodies||Cuttack Municipal Corporation,2024_ORULB_108860_1,MC(CMC)CTC_EL_09/2024-25,"Provision of Street Lights at Biju Patnaik Park front Road from Kathajodi Embankment Road to Madhubabu Statue Square Junction, CDA.",Executive Engineer,Internal,Asst. Executive Engineer,Sanjukta Sa,08-Oct-2025 05:55 PM,techsummary_523263.pdf (1906.08 KB),08-Oct-2025,"INR 3,565,352",60.0,Sanjukta Sa,08-Oct-2025 06:03 PM,2024_ORULB_108860_1co.pdf (1906.00 KB),Work Order,1,2728727,GREEN INNOVATIVE POWER PRIVATE LIMITED,08-Jan-2025 05:47 PM,Rejected-AOC,Rejected,08-Oct-2025 06:03 PM,AOC,"Provision of Street Lights at Biju Patnaik Park front Road from Kathajodi Embankment Road to Madhubabu Statue Square Junction, CDA.","Provision of Street Lights at Biju Patnaik Park front Road from Kathajodi Embankment Road to Madhubabu Statue Square Junction, CDA.",Please refer Tender documents. ,NA ,"41,94,000",Civil Works - Others,NA ,Tender,90.0,60.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi",No ,No,02-Jan-2025 05:30 PM,17-Jan-2025 11:00 AM,02-Jan-2025 05:30 PM,13-Jan-2025 05:00 PM,02-Jan-2025 05:30 PM ,13-Jan-2025 05:00 PM ,02-Jan-2025 05:30 PM,13-Jan-2025 05:00 PM,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_EL_09/2024-25,2024_ORULB_108860_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, CD-III","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online","7,080",0.0,Nil,Nil,No,"42,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2747197,JBS ENTERPRISES,13-Jan-2025 04:19 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,29-Mar-2025 07:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2746467,J.K Bhuyan,13-Jan-2025 12:49 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,29-Mar-2025 07:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2746978,MARUTI CONSTRUCTIONS,13-Jan-2025 02:45 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,29-Mar-2025 07:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2747232,MESSERS OMM SAI ELECTRICALS,13-Jan-2025 04:14 PM,Rejected-AOC,Rejected,08-Oct-2025 06:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2740207,M/s. EASTERN ENGINEERING,13-Jan-2025 01:39 PM,Accepted-AOC,Accepted,08-Oct-2025 06:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2746905,M/S ELECTROLITE INDUSTRY,13-Jan-2025 02:17 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,29-Mar-2025 07:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2747397,M/s. Mahalaxmi Electricals and Associates,13-Jan-2025 04:08 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,29-Mar-2025 07:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2746960,M/S SAI ELECTRICAL WORKS,13-Jan-2025 04:31 PM,Rejected-AOC,Rejected,08-Oct-2025 06:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2743375,M/S SARALA ENGINEERING WORKS,11-Jan-2025 12:38 PM,Rejected-AOC,Rejected,08-Oct-2025 06:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
