Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,EE/OLIC/BGH-03/2025-26,2025_OLIC_114610_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,23-Jun-2025 10:00 AM,04-Jul-2025 10:00 AM,23-Jun-2025 10:00 AM,03-Jul-2025 05:00 PM,23-Jun-2025 10:00 AM ,02-Jul-2025 05:00 PM ,23-Jun-2025 10:00 AM,03-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate, Affidavit, and other as per DTCN","Executive Engineer, L.I. Division, Bargarh","O/o the Executive Engineer, L.I. Division, Bargarh","8,635",Yes,percentage,1.0%,Nil,Nil,Execution of Reinforcement work of Guduramunda-I R.L. Project under Bheden Block in Bargarh District,Irrigation work,Please refer Tender documents. ,NA ,"8,63,499",Civil Works - Lift Irrigation Schemes,NA ,Tender,60.0,60.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the Executive Engineer, L.I. Division, Bargarh",No ,No,1,ICICI BANK,"4,720",0.0,Nil,Nil,No,AOC,S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,15-Sep-2025 06:24 PM,finsummary_543652.pdf (470.63 KB),Finance,Opening bid,SRIKANTA ROUT,04-Jul-2025 11:19 AM,finance_543652.pdf,BOQ Comparative Chart,15-Oct-2025,"INR 581,122",60.0,Surya Narayan Tripathy,15-Oct-2025 11:57 AM,1063Kharbela.pdf (592.00 KB),Awarded bidder,1,2986447,DINABANDHU BHOSAGAR,03-Jul-2025 12:36 PM,Rejected-Technical,Unsuccessful bidder,09-Sep-2025 05:45 PM,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Bargarh,2025_OLIC_114610_2,EE/OLIC/BGH-03/2025-26,Execution of Reinforcement work of Guduramunda-I R.L. Project under Bheden Block in Bargarh District,1.0,2986429.0,KHARABELA KHAMARI,INR,"581,122",S N Tripathy,Internal,"S Rout, R C Beshra",Surya Narayan Tripathy,09-Sep-2025 05:45 PM,techsummary_543652.pdf (470.62 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2986429,KHARABELA KHAMARI,02-Jul-2025 01:08 PM,Accepted-AOC,Awarded bidder,15-Oct-2025 11:57 AM,,,,,,,,,,,,,,,,AOC
