S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3015028.0,RAJESH KUMAR BARIK,INR,"6,406,967",Technical,opening,Shiba Sankar Mohanta,05-Aug-2025 01:23 PM,technical_546237.pdf,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_115665_1,RD 02,Construction of Twin E type qtr building at Jhipabandha PHC N under Kusumi block for the year 23-24,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,22-Oct-2025 10:54 AM,finsummary_546237.pdf (442.68 KB),sanjeet Kumar Naik,Internal,,Shiba Sankar Mohanta,05-Aug-2025 01:26 PM,07-Aug-2025 05:00 PM,techsummary_546237.pdf (391.16 KB),Finance,open,Sanjeet Kumar Naik,22-Oct-2025 10:52 AM,finance_546237.pdf,BOQ Comparative Chart,22-Oct-2025,"INR 6,406,967",270.0,Sanjeet Kumar Naik,22-Oct-2025 10:56 AM,4743.pdf (443.00 KB),1,3014696,BARENDRA KRISHNA MATAGAJSINGH,28-Jul-2025 12:57 PM,Rejected-AOC,Lottery,22-Oct-2025 10:56 AM,AOC,1.0,ICICI BANK,"75,370",Yes,fixed,,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR",Construction of Twin E type qtr building at Jhipabandha PHC N under Kusumi block for the year 23-24,Construction of Twin E type qtr building at Jhipabandha PHC N under Kusumi block for the year 23-24,NA ,NA ,"75,36,721",Civil Works - Buildings,NA ,Tender,90.0,270.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,PAN Affidavit GSTIN electrical license lease agreement etc as per DTCN,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD 02,2025_CERWI_115665_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,17-Jul-2025 11:00 AM,29-Jul-2025 11:30 AM,17-Jul-2025 11:00 AM,28-Jul-2025 05:00 PM,17-Jul-2025 11:00 AM ,25-Jul-2025 05:00 PM ,17-Jul-2025 11:00 AM,28-Jul-2025 05:00 PM,07-Aug-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3015028,RAJESH KUMAR BARIK,28-Jul-2025 02:20 PM,Accepted-AOC,Lottery winner,22-Oct-2025 10:56 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3015128,SARBESWAR MOHANTA,28-Jul-2025 02:49 PM,Rejected-AOC,Lottery,22-Oct-2025 10:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3013725,TULASHI RAJAK,27-Jul-2025 05:35 PM,Rejected-AOC,Lottery,22-Oct-2025 10:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
