Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,27-Oct-2025 12:24 PM,techsummary_545843.pdf (123.15 KB),27-Oct-2025,"INR 713,316",60.0,Gobinda Chandra Tudu,27-Oct-2025 12:48 PM,Agmt03.pdf (693.00 KB),Agmt value,1,3007764,ANJALI BISWAS,21-Jul-2025 09:02 PM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,Finance,20 nos. of bidders participated,Gobinda Chandra Tudu,27-Oct-2025 12:16 PM,finance_545843.pdf,BOQ Comparative Chart,1.0,3007822.0,DIGAMBAR MOHANTY,INR,"713,316",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,2025_CERWI_115456_1,Online Tender-05/RWD-UKT/2025-2026,"Construction of PWD Road to IRBN Camp, Raighar under Special Initiative Programme (SIP) in the District of Nabarangpur for the year 2025-26.",Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,27-Oct-2025 12:35 PM,finsummary_545843.pdf (123.16 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License, Pan, GST, Caste, Affidavits and other documents as per DTCN","Executive Engineer, R.W. Division, Umerkote","O/o the Executive Engineer, R.W. Division, Nabarangpur-II, Umerkote",11-Jul-2025 03:00 PM,23-Jul-2025 11:00 AM,11-Jul-2025 03:00 PM,22-Jul-2025 05:00 PM,11-Jul-2025 03:00 PM ,21-Jul-2025 01:00 PM ,11-Jul-2025 03:00 PM,22-Jul-2025 05:00 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,Online Tender-05/RWD-UKT/2025-2026,2025_CERWI_115456_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of PWD Road to IRBN Camp, Raighar under Special Initiative Programme (SIP) in the District of Nabarangpur for the year 2025-26.","Construction of PWD Road to IRBN Camp, Raighar under Special Initiative Programme (SIP) in the District of Nabarangpur for the year 2025-26.",Please refer Tender documents. ,NA ,"8,39,097",Civil Works - Roads,NA ,Tender,90.0,60.0,Umerkote,764073.0,NA ,NA ,NA ,"O/o Executive Engineer, R.W. Division, Umerkote",No ,No,"8,391",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,2,3004560,ARUN KUMAR SETHY,19-Jul-2025 08:00 PM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3005025,BASANTA KUMAR TRIPATHY,20-Jul-2025 02:01 PM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3007750,BIPANNA NANDI,21-Jul-2025 09:06 PM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3007822,DIGAMBAR MOHANTY,22-Jul-2025 01:45 PM,Accepted-AOC,Qualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3002799,DIPAK HALDAR,22-Jul-2025 07:50 AM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3002630,GOURI PRASAD PATRO,22-Jul-2025 09:37 AM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3008676,JAGANNATH DHALI,22-Jul-2025 02:55 PM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3004533,KUSHA SAHU,19-Jul-2025 07:44 PM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3006912,LIPA BISWAL,21-Jul-2025 06:09 PM,Rejected-AOC,Disqualified in transparent lottery,27-Oct-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
