S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,CORRIGENDUM,Date,,Construction of road from PWD road to Paruguda via Katrakund road under MMSY-CUVDA in the Districts of Malkangiri for the year 2024-25.,Construction of road from PWD road to Paruguda via Katrakund road under MMSY-CUVDA in the Districts of Malkangiri for the year 2024-25.,N.A ,NA ,"7,31,63,000",Civil Works - Roads,NA ,Tender,90.0,367.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,"10,000",0.0,Nil,Nil,No,"7,32,000",Yes,fixed,,Nil,Nil,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online-02/2025-26,2025_CERWI_113019_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,01-May-2025 03:00 PM,14-May-2025 10:00 AM,01-May-2025 03:00 PM,13-May-2025 05:00 PM,01-May-2025 03:00 PM ,09-May-2025 02:00 PM ,01-May-2025 03:00 PM,13-May-2025 05:00 PM,23-Jun-2025 11:00 AM,AOC,1,2915330,BIKRAM KUMAR GUPTA,13-May-2025 03:18 PM,Rejected-AOC,REJECT,28-Oct-2025 01:39 PM,28-Oct-2025,"INR 73,163,217.74",367.0,Rinku Nahak,28-Oct-2025 01:38 PM,AOCPARUGUDA.PDF (918.00 KB),Award of contract to SANTOSH KUMAR ROUT through transparency lottery system,Finance,cs,Prabhakara Behera,02-Aug-2025 04:51 PM,finance_538152.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda",Prabhakara Behera,19-Jun-2025 02:28 PM,23-Jun-2025 11:00 AM,techsummary_538152.pdf (601.14 KB),"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda",Prabhakara Behera,02-Aug-2025 05:01 PM,finsummary_538152.pdf (462.77 KB),Technical,bidders name,Prabhakara Behera,19-Jun-2025 02:06 PM,technical_538152.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_113019_1,CCERWCSBD Online-02/2025-26,Construction of road from PWD road to Paruguda via Katrakund road under MMSY-CUVDA in the Districts of Malkangiri for the year 2024-25.,1.0,2910260.0,SANTOSH KUMAR ROUT,INR,"62,196,051.4",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2912606,CHETAN BISOI,12-May-2025 10:30 AM,Rejected-AOC,REJECT,28-Oct-2025 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2915923,DEMANTI AGRAWAL,13-May-2025 03:18 PM,Rejected-AOC,REJECT,28-Oct-2025 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2910229,GOBINDA CHANDRA NAYAK,09-May-2025 12:06 PM,Rejected-AOC,REJECT,28-Oct-2025 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2909653,Lalit Somani,13-May-2025 03:47 PM,Rejected-AOC,REJECT,28-Oct-2025 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2905649,M/S GUPTESWAR CONSTRUCTION,08-May-2025 12:17 PM,Rejected-Finance,REJECT,02-Aug-2025 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2914862,NARAYAN BISOI,13-May-2025 08:20 AM,Rejected-Finance,REJECT,02-Aug-2025 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2914764,PRADEEP KUMAR PRADHAN,13-May-2025 08:19 AM,Rejected-AOC,REJECT,28-Oct-2025 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2907058,P.RAMA RAO,12-May-2025 10:40 AM,Rejected-Finance,REJECT,02-Aug-2025 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2915504,Rajesh Kumar Jain,13-May-2025 01:09 PM,Rejected-AOC,REJECT,28-Oct-2025 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
