Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"S.E,Balangir (R and B) Division,Balangir","O/O S.E,Balangir (R and B) Division,Balangir","Supply and Fitting of Tubelights, Ceiling Fans ,Flood Lights and cable towards Residential Buildings, Hostel Buildings, Dissection Hall,Dept. of Anatomy and playing Area inside the campus of BBMCH,Laltikra,Balangir",Electrical work,Please refer tender document ,NA ,"5,26,500",Electrical Works,NA ,Tender,90.0,30.0,Balangir,767001.0,NA ,NA ,NA ,"O/O S.E,Balangir (R and B) Division,Balangir",No ,No,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,BGR (R and B)-03 of 2025-26,2025_EICCL_113386_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,14-May-2025 06:55 PM,26-May-2025 11:30 AM,14-May-2025 06:55 PM,23-May-2025 05:00 PM,14-May-2025 06:55 PM ,21-May-2025 01:00 PM ,14-May-2025 06:55 PM,23-May-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof Copy Tender cost and EMD, Registration Certificate, PAN, GSTIN,etc.","5,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,A Jena,Internal,,ASHUTOS JENA,14-Aug-2025 02:21 PM,finsummary_539365.pdf (187.26 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,2025_EICCL_113386_2,BGR (R and B)-03 of 2025-26,"Supply and Fitting of Tubelights, Ceiling Fans ,Flood Lights and cable towards Residential Buildings, Hostel Buildings, Dissection Hall,Dept. of Anatomy and playing Area inside the campus of BBMCH,Laltikra,Balangir",1.0,2928534.0,LAKSHMIKANTA GOCHHAYATA,INR,"447,578",Finance,Total 11 (Eleven) Nos. bidders were participated and their documents are opened for further evaluation.,Prabhasini Sarangi,28-May-2025 11:51 AM,finance_539365.pdf,BOQ Comparative Chart,02-Sep-2025,"INR 447,578",30.0,ASHUTOS JENA,06-Oct-2025 12:32 PM,AOCforsupplyingfittingtubelightetcinsidecampusBBMCH.pdf (361.00 KB),"The work is awarded to Sri Lakshmi Kanta Gochhayat, ""MV"" class contractor",1,2928347,AKARSHAN JHA,22-May-2025 01:10 PM,Rejected-Finance,Loose in transparent Lottery system,14-Aug-2025 02:21 PM,A jena,Internal,,ASHUTOS JENA,14-Aug-2025 02:15 PM,techsummary_539365.pdf (744.61 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No relationship Certificate, affidavit, Work experience certificate etc.",,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2930017,BHUJABALA PATEL,23-May-2025 03:47 PM,Rejected-Technical,As per DTCN,14-Aug-2025 02:15 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others document as per DTCN,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2927116,BISWARANJAN SAHOO,22-May-2025 11:01 AM,Rejected-Finance,Loose in transparent Lottery system,14-Aug-2025 02:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2929585,EDITION INTERNATIONAL,23-May-2025 11:10 AM,Rejected-Technical,As per DTCN,14-Aug-2025 02:15 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2928534,LAKSHMIKANTA GOCHHAYATA,22-May-2025 01:20 PM,Accepted-AOC,being the lowest percentage bidder the contractor won the transparent lottery system.,06-Oct-2025 12:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2930224,M/S GIRISH CHANDRA PATRA,23-May-2025 04:17 PM,Rejected-Finance,Loose in transparent Lottery system,14-Aug-2025 02:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2929038,M/S SAMBEET SUPPLIERS,22-May-2025 06:27 PM,Rejected-Technical,As per DTCN,14-Aug-2025 02:15 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2929652,POWERPOINT SOLUTIONS,23-May-2025 01:36 PM,Rejected-Finance,Loose in transparent Lottery system,14-Aug-2025 02:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2929923,SRI NARESH KUMAR SAHU,23-May-2025 01:29 PM,Rejected-Finance,Loose in transparent Lottery system,14-Aug-2025 02:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2930124,SURABHI ELECTRICAL,23-May-2025 03:16 PM,Rejected-Finance,Loose in transparent Lottery system,14-Aug-2025 02:21 PM,,,,,,,AOC
