S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,2948000.0,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,INR,"625,765.768",Finance,All the Bid documents are downloaded.,RAJENDRA KUMAR MARNDI,18-Jun-2025 12:50 PM,,BOQ Comparative Chart,Rajendra kumar Marndi,Internal,"EE, AEE Estimator, DAO",RAJENDRA KUMAR MARNDI,30-Jul-2025 02:50 PM,finsummary_541731.pdf (266.43 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Salapada,2025_CEMWR_114054_1,EE/MDL- 01(4)/ 2025-26,"Renovation, fabrication and erection of Gate and Hoist of Nangudi Sluice under Balasore Irrigation Division, Balasore for the year-2025-26",Rajendra Kumar Marndi,Internal,"EE, Estimator, DAO",RAJENDRA KUMAR MARNDI,19-Jun-2025 10:01 PM,techsummary_541731.pdf (566.06 KB),1,2955312,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",07-Jun-2025 12:50 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,30-Jul-2025,"INR 625,765.768",30.0,RAJENDRA KUMAR MARNDI,17-Oct-2025 08:36 PM,Nagudi.pdf (976.00 KB),Mechanical Gate work,AOC,02-Jun-2025 10:00 AM,10-Jun-2025 11:00 AM,02-Jun-2025 10:00 AM,09-Jun-2025 05:00 PM,NA ,NA ,02-Jun-2025 10:00 AM,09-Jun-2025 05:00 PM,Executive Engineer Mechanical Division Laxmiposi,Office of the Executive Engineer Mechanical Division Laxmiposi Dist-Mayurbhanj Pin-757107,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Res. Proof, Labour Licence, ESI Registration Certificate, and other document as per DTCN",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Salapada,EE/MDL- 01(4)/ 2025-26,2025_CEMWR_114054_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Renovation, fabrication and erection of Gate and Hoist of Nangudi Sluice under Balasore Irrigation Division, Balasore for the year-2025-26",Gate Works,Please refer Tender documents. ,NA ,"7,36,108",Mechanical Works,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,O/o EE Mechanical Division Laxmiposi,No ,No,"7,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2948110,LAXMIDHRA BHUYAN,07-Jun-2025 09:24 PM,Rejected-Technical,Documents are Not Furnished as per DTC,19-Jun-2025 10:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2953122,M/S Abirvab Steel Product,09-Jun-2025 01:03 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2948030,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,07-Jun-2025 05:00 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2953935,M/S Ashreebad Fabricators,08-Jun-2025 11:15 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2948000,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,07-Jun-2025 04:52 PM,Accepted-AOC,Selected by lottery,17-Oct-2025 08:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2958078,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,09-Jun-2025 04:21 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2954969,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,06-Jun-2025 09:21 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2954990,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",07-Jun-2025 08:38 AM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2951945,M/s Pati Enterprises,08-Jun-2025 08:44 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2952846,M/S SAIKRUPA ENTERPRISERS (PROP.UMESH CHANDRA SWAIN),07-Jun-2025 06:01 PM,Rejected-Technical,Documents are Not Furnished as per DTCN,19-Jun-2025 10:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2954159,POOJARINI ENTERPRISERS,09-Jun-2025 02:54 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2954916,SABYASACHI BARAL,09-Jun-2025 03:14 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2949273,SPS INDUSTRY,07-Jun-2025 05:09 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2949293,SUSHIL KUMAR DAS,07-Jun-2025 05:18 PM,Rejected-Finance,Not selected by lottery,30-Jul-2025 02:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
