Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,TOTAL TWENTY SIX NOS BIDDER WERE PARTICIPATED IN THIS BID AND THEIR DOCUMENTS ARE VIEWED.,Snigdharani Das,06-Jun-2025 12:49 PM,finance_540627.pdf,BOQ Comparative Chart,1.0,2948235.0,GANDHARB NAYAK,INR,"3,571,861",EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-V-BBSR,2025_EICCL_113715_3,TENDER CALL NOTICE NO.02 OF 2025-26,"Road from Mendhasal Chhaka to Deras, via Kalajhari such as providing periodical renewal coat under plan scheme for the year 2025-26 in the District of Khordha","Er.A.Routray,S.E.",Internal,"Er.T.K.Routray,S.E.SriM.K.Manoj, Sr.DAO",Amresh Rout,09-Oct-2025 04:46 PM,finsummary_540627.pdf (339.94 KB),"Er.A.Routray,S.E.",Internal,"Er.T.K.Routray,A.E.E.Sri M.K.Manoj,Sr.DAO",Amresh Rout,09-Oct-2025 04:27 PM,techsummary_540627.pdf (193.99 KB),1,2949604,ABHIJIT PARIDA,03-Jun-2025 11:19 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,09-Oct-2025,"INR 3,571,861",90.0,Amresh Rout,09-Oct-2025 04:51 PM,AOC.pdf (82.00 KB),AOC UPLOADED,AOC,"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-V-BBSR,TENDER CALL NOTICE NO.02 OF 2025-26,2025_EICCL_113715_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"BID COST,RC, E.M.D PAN, G.S.T, ALL AFFIDAVITS AS PER APPROVED DTCN",1.0,ICICI BANK,"Road from Mendhasal Chhaka to Deras, via Kalajhari such as providing periodical renewal coat under plan scheme for the year 2025-26 in the District of Khordha","Road from Mendhasal Chhaka to Deras, via Kalajhari such as providing periodical renewal coat under plan scheme for the year 2025-26 in the District of Khordha",Please refer Tender documents. ,NA ,"42,01,695",Civil Works - Roads,NA ,Tender,90.0,90.0,Bhubaneswar,751001.0,NA ,NA ,NA ,"OFFICEOFTHESUPERINTENDINENGINEER,BBSRRANDBDIVNNO.V",No ,No,"42,017",Yes,percentage,1.0%,Nil,Nil,"SuperintendEngineer, BhubaneswarRandBDivision No.V","OFFICE OF THE SUPERINTENDING ENGINEER, BHUBANESWAR RANDB DIVISION NO.V,",29-May-2025 05:00 PM,06-Jun-2025 12:30 PM,29-May-2025 05:00 PM,05-Jun-2025 05:00 PM,NA ,NA ,29-May-2025 05:00 PM,05-Jun-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2947694,AKLANTA ANURAG MOHAPATRA,02-Jun-2025 04:50 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2951477,AMIYA KUMAR PAIKARAY,04-Jun-2025 05:25 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2950689,BIRAJA MAHIMA PANIGRAHI,05-Jun-2025 11:48 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2953022,BISWAJIT SAHU,05-Jun-2025 04:56 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2952811,CHANDRAKANTA SETHI,05-Jun-2025 03:40 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2949529,CHINMAYANANDA MISHRA,03-Jun-2025 09:33 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2950150,CHITTARANAJAN SARANGI,03-Jun-2025 05:21 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2951206,DEBA PRASAD BALABANTARAY,04-Jun-2025 02:07 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,09-Oct-2025 04:46 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2948235,GANDHARB NAYAK,04-Jun-2025 01:58 PM,Accepted-AOC,WORK AWARDED,09-Oct-2025 04:51 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
