Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,16 Nos. bidders participated,APARNA MISHRA,28-Sep-2025 09:42 AM,finance_543049.pdf,BOQ Comparative Chart,1.0,2978187.0,DEBADATTA KHAMARI,INR,"2,466,349",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,2025_OLIC_114438_15,OLIC-BLGR-01/2025-26,Revival of Rajkle-II and Tilkamal-I defunct L.I.Projects under Gudvella Block (State Plan Fund),EE,Internal,EE and ohers,APARNA MISHRA,08-Oct-2025 08:48 PM,finsummary_543049.pdf (201.35 KB),EE,Internal,EE and others,APARNA MISHRA,08-Oct-2025 08:42 PM,techsummary_543049.pdf (365.65 KB),1,2976515,ANKIT KUMAR AGRAWAL,21-Jun-2025 04:48 PM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,08-Oct-2025,"INR 2,901,246",90.0,APARNA MISHRA,08-Oct-2025 08:52 PM,15.pdf (1022.00 KB),Success on Lottery System,AOC,"29,012",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,17-Jun-2025 11:00 AM,25-Jun-2025 11:00 AM,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,17-Jun-2025 11:00 AM ,23-Jun-2025 05:00 PM ,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,"7,080",0.0,Nil,Nil,No,"E.E., L.I. Division, Balangir","O/O. the E.E., L.I. Division, Balangir",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, AFFIDAVIT, EMD, PAPER COST, NO RELATION CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN",Revival of Rajkle-II and Tilkamal-I defunct L.I.Projects under Gudvella Block (State Plan Fund),Revival of Rajkle-II and Tilkamal-I defunct L.I.Projects under Gudvella Block (State Plan Fund),Please refer Tender documents. ,NA ,"29,01,246",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,BALANGIR,767002.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Balangir",No ,No,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,OLIC-BLGR-01/2025-26,2025_OLIC_114438_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2979124,ANTARYAMEE SAI,24-Jun-2025 02:24 PM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2977807,BIJAYA KUMAR JAIN,24-Jun-2025 12:58 PM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2978598,BISHAL AGRAWALLA,23-Jun-2025 10:36 PM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2978187,DEBADATTA KHAMARI,24-Jun-2025 12:50 PM,Accepted-AOC,Success on Lottery System,08-Oct-2025 08:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2974927,Dukhanasana Sethi,24-Jun-2025 11:32 AM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2978531,JYOTIRANJAN BEDBAK,23-Jun-2025 06:02 PM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2975872,KAPIL KUMAR JAIN,21-Jun-2025 07:55 PM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2976323,KARAN JAIN,21-Jun-2025 09:27 PM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2979046,M/S SAROJINEE POWER AND CONSTRUCTION,24-Jun-2025 01:07 PM,Rejected-Finance,Unsuccess on Lottery System,08-Oct-2025 08:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
