S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Improvement to Main Canal of Asanleda MIP in Tileibani Block of Deogarh District under Critical Grant.,Improvement to Main Canal of Asanleda MIP in Tileibani Block of Deogarh District under Critical Grant.,Please refer Tender documents. ,NA ,"21,18,023",Civil Works - Others,Imp to MIP ,Tender,90.0,120.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o S.E, M.I. Division, Deogarh",No ,No,21-Aug-2025 10:00 AM,03-Sep-2025 11:00 AM,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,21-Aug-2025 10:00 AM ,02-Sep-2025 05:00 PM ,21-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,"21,170",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"AFFIDAVIT, PAN CARD, GSTIN, REGISTRATION CERTIFICATE AND OTHE DOCUMENT AS PER DTCN","S.E, M.I. Division, Deogarh","O/o S.E, M.I. Division, Deogarh","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar","SE,MID,DGR /03 / 2025-26",2025_CEMIB_117118_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC,22-Oct-2025,"INR 1,800,531",120.0,Rashmi Rekha Chattar,22-Oct-2025 10:12 AM,asanleda.pdf (545.00 KB),1,3061168,BIREN DUNGRI,02-Sep-2025 02:11 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,"S.E.M.I. DIVISION, DEOGARH",Internal,SE AEE DAO,Rashmi Rekha Chattar,16-Oct-2025 12:47 PM,techsummary_550042.pdf (257.72 KB),"S.E.M.I. DIVISION, DEOGARH",Internal,,Rashmi Rekha Chattar,16-Oct-2025 05:56 PM,finsummary_550042.pdf (257.72 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",2025_CEMIB_117118_9,"SE,MID,DGR /03 / 2025-26",Improvement to Main Canal of Asanleda MIP in Tileibani Block of Deogarh District under Critical Grant.,1.0,3051333.0,SIMANTA KUMAR SAHU,INR,"1,800,531",Finance,All are qualified,Rashmi Rekha Chattar,16-Oct-2025 12:38 PM,finance_550042.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3051550,CHHEDILAL KATARUKA,27-Aug-2025 08:45 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3059885,DUSMANTA PRADHAN,01-Sep-2025 06:21 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3057550,Ganesh Chandra Minz,31-Aug-2025 01:21 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3048577,KHAGESWAR SAHU,25-Aug-2025 05:10 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3051023,KSHITISH KUMAR NAYAK,27-Aug-2025 12:12 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3060405,LIZA CHOUDHARY,02-Sep-2025 01:07 AM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3060182,MANOJ KUMAR BISWAL,01-Sep-2025 08:56 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3061214,MITRAVANU BEHERA,02-Sep-2025 02:30 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3059987,NIHAR RANJAN NAYAK,01-Sep-2025 07:23 PM,Rejected-AOC,Dis Qualified,22-Oct-2025 10:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
