S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Divisional Officer Kamakhyanagar,"RURAL WORKS DIVISION NO.II, DHENKANAL,Kamakhyanagar","74,717",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Valid Registration Certificate, PAN, GST and Affidavit as per DTCN",Construction of BPHU building at Birasal in Kankadahad Block in the district of Dhenkanal for the year 2025-26,Construction of BPHU building at Birasal in Kankadahad Block in the district of Dhenkanal for the year 2025-26,NA ,NA ,"74,71,728",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kamakhyanagar,759018.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, DHENKANAL,Kamakhyanaga",No ,No,"10,000",0.0,Nil,Nil,No,08-Aug-2025 01:15 PM,18-Aug-2025 11:00 AM,08-Aug-2025 01:15 PM,16-Aug-2025 04:00 PM,08-Aug-2025 01:15 PM ,16-Aug-2025 04:00 PM ,08-Aug-2025 01:15 PM,16-Aug-2025 04:00 PM,17-Sep-2025 09:00 AM,CE RW I||RWCIRCLE-ANGUL||RWDIVISION-KAMAKSHYANAGAR,KNR-06/2025-26,2025_CERWI_116638_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,30-Oct-2025,"INR 7,471,728",180.0,Sibajyoti Sahoo,30-Oct-2025 02:01 PM,b.pdf (906.00 KB),1,3036980,AMIT KUMAR MAHAPATRA,16-Aug-2025 11:21 AM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,Finance,OPENED,Sibajyoti Sahoo,30-Oct-2025 01:32 PM,finance_548785.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,DAO Estimator,Sibajyoti Sahoo,16-Sep-2025 09:17 PM,17-Sep-2025 09:00 AM,techsummary_548785.pdf (439.47 KB),1.0,Revok of tender,Corrigendum,09-Sep-2025 07:14 PM,Revok.pdf ,433.23,Technical Opening,SE,Internal,,Sibajyoti Sahoo,30-Oct-2025 01:54 PM,finsummary_548785.pdf (601.59 KB),CE RW I||RWCIRCLE-ANGUL||RWDIVISION-KAMAKSHYANAGAR,2025_CERWI_116638_1,KNR-06/2025-26,Construction of BPHU building at Birasal in Kankadahad Block in the district of Dhenkanal for the year 2025-26,Technical,28nos bidder found,Mamatamayee Biswal,16-Sep-2025 09:04 PM,technical_548785.pdf,1.0,3034816.0,SURAJEET SAHOO,INR,"6,351,716",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,2.0,Finance,.xls,BOQ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3035760,Aurobin Mahapatra,14-Aug-2025 12:57 PM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,,,,,,,,,,,,,,2.0,Corriegndum,Revok of Tender,16-Sep-2025 08:30 PM,Revok.pdf ,433.23,Technical Opening,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3037525,BHUASUNI PRECAST PVT.LTD.,15-Aug-2025 09:42 PM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3036162,BIDHUBHUSAN PARIDA,14-Aug-2025 03:52 PM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3034274,BISWARANJAN JENA,13-Aug-2025 11:00 AM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3033974,BRAHMANANDA SAHOO,12-Aug-2025 10:18 PM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3034287,CHHABI BEHERA,13-Aug-2025 11:42 AM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3037893,DEBADATTA NAYAK,16-Aug-2025 11:22 AM,Rejected-Technical,Non Submission of E.I licence (As per Instruction of Bidder of DTCN),16-Sep-2025 09:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3036880,DEBARAJA PARIDA,16-Aug-2025 11:15 AM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3037249,Dibyajyoti Mallik,15-Aug-2025 07:20 PM,Rejected-Finance,Lottery,30-Oct-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
