Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"7,080",0.0,Nil,Nil,No,REINFORCEMENT OF JOGIPALA-II AND JOGIPALA-VI LIFT IRRIGATION PROJECT UNDER KARLAMUNDA BLOCK IN KALAHANDI DISTRICT,REINFORCEMENT OF JOGIPALA-II AND JOGIPALA-VI LIFT IRRIGATION PROJECT UNDER KARLAMUNDA BLOCK IN KALAHANDI DISTRICT,Please refer to Tender Documents ,NA ,"20,43,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,60.0,KARLAMUNDA,766031.0,NA ,NA ,NA ,"O/O The Executive Engineer L.I.Division,Bhawanipat",No ,No,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,OLIC-BPT-02/2025-26 Dt.01.05.2025,2025_OLIC_113047_21,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TenderPaperCost,EMD,GSTChallan,GSTIN,PAN,Affidavit,CivilandHTLicenseJointVenture, Others as per DTCN","Executive Engineer, L.I.Division, Bhawanipatna",At - Infront of GOVT. ITI Po - Bhawanipatna,07-May-2025 11:00 AM,17-May-2025 11:00 AM,07-May-2025 11:00 AM,16-May-2025 05:00 PM,07-May-2025 11:00 AM ,14-May-2025 05:00 PM ,07-May-2025 11:00 AM,16-May-2025 05:00 PM,"20,430",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,2025_OLIC_113047_21,OLIC-BPT-02/2025-26 Dt.01.05.2025,REINFORCEMENT OF JOGIPALA-II AND JOGIPALA-VI LIFT IRRIGATION PROJECT UNDER KARLAMUNDA BLOCK IN KALAHANDI DISTRICT,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Dyllod Nag Jagannath Das,BIPRA SOREN,20-Aug-2025 01:39 PM,finsummary_538468.pdf (2850.44 KB),Finance,Bid Opening summary uploaded as per bidding. The L1 bidder will be accepted after Technical evaluation.,BIPRA SOREN,30-Jun-2025 02:44 PM,finance_538468.pdf,BOQ Comparative Chart,1.0,2911259.0,MS Shree Shyam and Co,INR,"1,736,754",1,2920801,ABHINANDAN PANDA,16-May-2025 04:13 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 01:39 PM,25-Aug-2025,"INR 1,736,754",60.0,BIPRA SOREN,15-Oct-2025 04:20 PM,21JOGIPALAIIJOGIPALAVI.pdf (5257.00 KB),AWARD OF CONTRACT,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Krushna Ch. Sahu Dyllod Nag Jagannath Das,BIPRA SOREN,19-Jul-2025 12:24 PM,techsummary_538468.pdf (3067.81 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,2917482,Biswajit Mund,15-May-2025 07:56 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2918226,KAPIL KUMAR JAIN,16-May-2025 10:13 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2910071,"M/S SHIVANI INFRASTRUCTURE AND SUPPLIERS, PROP. YASH AGRAWAL",13-May-2025 09:13 PM,Rejected-AOC,L2 not Selected,15-Oct-2025 04:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2911259,MS Shree Shyam and Co,12-May-2025 11:36 AM,Accepted-AOC,L1 and Accepted,15-Oct-2025 04:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2919337,RATHA MEHER,16-May-2025 01:48 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2916860,SANTOSH KUMAR SAHU,14-May-2025 02:43 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2916130,S KRISHNA KUMARI REDDY,13-May-2025 02:55 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2920244,SUBASHIS SAHOO,16-May-2025 11:09 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 01:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2919384,TEJESWAR RANA,15-May-2025 09:35 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 01:39 PM,,,,,,,,,,,,,,AOC
