Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Repair to Potholes in Noorpur Road from Town PS to Nikamahal Via Handi Gali and Kasaba School from 0.600 km to 0.900 km for the year 2025-26,Repair to Potholes in Noorpur Road from Town PS to Nikamahal Via Handi Gali and Kasaba School from 0.600 km to 0.900 km for the year 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Balasore,756001.0,"Superintending Engineer, Balasore(R and B)Divisio ","At-Padhuanpada,Dist-Balasore ",03-Sep-2025 10:00 AM ,"Superintending Engineer, Balasore(R and B)Divisio",No ,No,Superintending Engineer,"At-Padhuanpada,Dist-Balasore",EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BALASORE,SE(RandB)BLS-Divn-1-24/2025-26,2025_EICCL_117581_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"3,600",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, GSTIN, Valid RC, Affidavit and other connected documents as per DTCN",03-Sep-2025 10:00 AM,11-Sep-2025 10:00 AM,03-Sep-2025 10:00 AM,10-Sep-2025 04:00 PM,NA ,NA ,03-Sep-2025 10:00 AM,10-Sep-2025 04:00 PM,"2,000",0.0,Nil,Nil,No,AOC,"SE,DAO,AEE",Internal,,Jyotiprakash Panda,12-Sep-2025 12:43 PM,techsummary_551150.pdf (148.62 KB),"SE,DAO,AEE",Internal,,Jyotiprakash Panda,07-Oct-2025 12:57 PM,finsummary_551150.pdf (92.04 KB),Finance,CS,Jyotiprakash Panda,12-Sep-2025 12:37 PM,finance_551150.pdf,BOQ Comparative Chart,07-Oct-2025,"INR 353,511",30.0,Jyotiprakash Panda,07-Oct-2025 01:01 PM,302.pdf (153.00 KB),1.0,3071711.0,ANANTA PRASAD NAYAK,INR,"300,519.7",EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BALASORE,2025_EICCL_117581_23,SE(RandB)BLS-Divn-1-24/2025-26,Repair to Potholes in Noorpur Road from Town PS to Nikamahal Via Handi Gali and Kasaba School from 0.600 km to 0.900 km for the year 2025-26,1,3071711,ANANTA PRASAD NAYAK,10-Sep-2025 01:01 PM,Accepted-AOC,Lucky draw winner,07-Oct-2025 01:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3069811,BHIKARI DALAEI,10-Sep-2025 11:02 AM,Rejected-AOC,Not qualified for Lucky draw,07-Oct-2025 01:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3072663,DIPTISMITA JENA,09-Sep-2025 08:11 PM,Rejected-AOC,Not qualified for Lucky draw,07-Oct-2025 01:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3074297,MANORAMA TAREI,10-Sep-2025 03:51 PM,Rejected-AOC,Not qualified for Lucky draw,07-Oct-2025 01:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3073936,USHARANI PATTANAYAK,10-Sep-2025 01:36 PM,Rejected-AOC,Not qualified for Lucky draw,07-Oct-2025 01:01 PM,AOC
