Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,All the bidders are valid bidders,Shatabdi Choudhury,16-Jul-2025 05:13 PM,finance_537734.pdf,BOQ Comparative Chart,11-Aug-2025,"INR 1,633,232",180.0,AMIYA KUMAR SETH,21-Oct-2025 06:36 PM,PID31324P1202526.pdf (513.00 KB),AOC,1.0,2914318.0,ASHIS KUMAR NAYAK,INR,"1,388,411","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",2025_CELBB_112841_31,EPROCUREMENT TENDER CALL NOTICE PID01 OF 2025-26,"PID-31, Improvement to Bharatipur Minor from RD 00Km. to 0.500Km",1,2914318,ASHIS KUMAR NAYAK,12-May-2025 08:19 PM,Accepted-AOC,WIN THE TRANSPARENT LOTTERY,21-Oct-2025 06:36 PM,ER. AMIYA KUMAR SETH,Internal,"Er. Amiya Kumar Seth, SE, Mrs. Shatabdi Choudhury, AEE (Estimator), Sri Manoj Kumar Chudhury, DAO-I, Sri Himansu Sekhar Mandhata, AE (Estimator) in charge",Shatabdi Choudhury,21-Jul-2025 12:04 PM,techsummary_537734.pdf (447.33 KB),ER. AMIYA KUMAR SETH,Internal,"Er. Amiya Kumar Seth, SE, Mrs. Shatabdi Choudhury, AEE (Estimator), Sri Manoj Kumar Chudhury, DAO-I, Sri Himansu Sekhar Mandhata, AE (Estimator) in charge",Shatabdi Choudhury,21-Jul-2025 08:03 PM,finsummary_537734.pdf (447.33 KB),AOC,"SE, Puri Irrigation Division, Puri","O/O THE SUPERINTENDING ENGINEER, PURI IRRIGATION DIVISION, PURI AT, DELTA COLONY, SECHAN VIHAR, SHREE VIHAR, PURI 752003","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Puri Irr Division,Puri",EPROCUREMENT TENDER CALL NOTICE PID01 OF 2025-26,2025_CELBB_112841_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDERPAPERCOST,EMD,RC,PAN,ACTIVEGSTIN,NRC,AFFIDAVIT FOR EACHWORK,ANY OTHER DOCUMENT ASPER DTCN",29-Apr-2025 10:30 AM,14-May-2025 11:00 AM,29-Apr-2025 10:30 AM,13-May-2025 05:30 PM,29-Apr-2025 10:30 AM ,13-May-2025 05:30 PM ,29-Apr-2025 10:30 AM,13-May-2025 05:30 PM,"6,000",0.0,Nil,Nil,No,"16,400",Yes,fixed,,Nil,Nil,"PID-31, Improvement to Bharatipur Minor from RD 00Km. to 0.500Km",Improvement to Bharatipur Minor from RD 00Km. to 0.500Km,Please refer Tender documents. ,NA ,"16,33,232",Civil Works - Others,NA ,Tender,90.0,180.0,PURI,752003.0,NA ,NA ,NA ,"O/o SE, Puri Irrigation Division, Puri",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2911084,CHAKRADHAR SAHU,10-May-2025 12:46 PM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2916344,DIGAMBER SWAIN,13-May-2025 03:42 PM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2913658,JITENDRA KHOTEI,12-May-2025 04:41 PM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2915418,KALANDI CHARAN SAHOO,13-May-2025 12:09 PM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2910430,"MAA DAKHINAKALI SUPPLIER, PROP-AKSHAY KUMAR MAHARATHA",10-May-2025 02:08 PM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2908636,MANAS BHUJABAL,08-May-2025 11:34 AM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2905088,MRUTYUNJAYA SAMANTARAY,04-May-2025 06:28 PM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2914869,ramesh chandra baral,13-May-2025 08:29 AM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2910536,SANTOSH TRADERS,13-May-2025 04:46 PM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,2913377,SUNIL KUMAR NANDA,12-May-2025 02:03 PM,Rejected-Finance,Reject,21-Jul-2025 08:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
