S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2765249.0,SRI RABINDRA PADHY,INR,"86,199,595","CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,30-Oct-2025 06:26 PM,finsummary_524026.pdf (1056.67 KB),CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_109110_6,Road Online N.C.B. No-361,Improvement to NH-6 - Kaluakhaman road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Technical,11 Nos of Bidders admitted,Akshaya Kumar Naik,29-May-2025 01:56 PM,,Finance,10 nos of bidder admitted,Akshaya Kumar Naik,30-Oct-2025 06:20 PM,,BOQ Comparative Chart,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,29-May-2025 02:04 PM,02-Jun-2025 11:00 AM,techsummary_524026.pdf (488.16 KB),30-Oct-2025,"INR 86,199,595",365.0,Akshaya Kumar Naik,30-Oct-2025 06:30 PM,Kaluakhaman.pdf (1364.00 KB),1,2765540,MANOJ KUMAR MOHANTY,20-Jan-2025 10:06 AM,Rejected-AOC,L1,30-Oct-2025 06:30 PM,AOC,07-Jan-2025 06:00 PM,21-Jan-2025 11:00 AM,07-Jan-2025 06:00 PM,20-Jan-2025 05:00 PM,07-Jan-2025 06:00 PM ,18-Jan-2025 05:00 PM ,07-Jan-2025 06:00 PM,20-Jan-2025 05:00 PM,02-Jun-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-361,2025_CERWI_109110_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",CCE RWC Baripada,CCE RWC Baripada,"10,14,000",Yes,percentage,1.0%,Nil,Nil,Improvement to NH-6 - Kaluakhaman road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Improvement to NH-6 - Kaluakhaman road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Please refer Tender documents. ,NA ,"10,14,00,000",Civil Works - Roads,NA ,Tender,90.0,365.0,"SERW Division, Karanjia",757037.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2764411,M/S BIG BUILD INFRASTRUCTURE & CO,20-Jan-2025 01:14 PM,Rejected-AOC,L1,30-Oct-2025 06:30 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2756266,M/s Pallavi Infra Project,19-Jan-2025 06:37 PM,Rejected-AOC,L2,30-Oct-2025 06:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2747015,M/S SANTOSH KUMAR KHANDELWAL,17-Jan-2025 02:54 PM,Rejected-AOC,L1,30-Oct-2025 06:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2766917,Ms SHREE RADHA KRISHNA INFRASTRUCTURE,20-Jan-2025 04:42 PM,Rejected-Technical,1.Insufficient work experience (ITB Clause-5). 2.Insufficient ATO (ITB Clause-7),29-May-2025 02:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2762636,PRADEEP KUMAR PANDA,20-Jan-2025 02:55 PM,Rejected-AOC,L1,30-Oct-2025 06:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2766562,SRI LINGARAJ PADHI,20-Jan-2025 03:31 PM,Rejected-AOC,L1,30-Oct-2025 06:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2765249,SRI RABINDRA PADHY,20-Jan-2025 03:04 PM,Accepted-AOC,L1,30-Oct-2025 06:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2764987,SUJIT KUMAR MOHANTY,20-Jan-2025 10:46 AM,Rejected-AOC,L2,30-Oct-2025 06:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2764197,SUMAN KUMAR SAHU,20-Jan-2025 12:17 PM,Rejected-AOC,L2,30-Oct-2025 06:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
