Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Jatni Municipal Council,EO/JMC/078/2024-25,2024_ORULB_103438_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,615",Yes,percentage,1.0%,Nil,Nil,04-Jul-2024 11:00 AM,18-Jul-2024 11:00 AM,04-Jul-2024 11:00 AM,16-Jul-2024 05:00 PM,NA ,NA ,04-Jul-2024 11:00 AM,16-Jul-2024 05:00 PM,"EXECUTIVE OFFICER,JATNI MUNICIPALITY","EXECUTIVE OFFICER,JATNI MUNICIPALITY","4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of B.T Road from Manoj Achrya House towards Mahesh Agrawal House at Gopabandhu Nagar W.N- 8,Construction of B.T Road from Manoj Achrya House towards Mahesh Agrawal House at Gopabandhu Nagar W.N- 8,Please refer Tender documents. ,NA ,"5,61,497",Civil Works - Others,NA ,Tender,30.0,30.0,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",752050.0,NA ,NA ,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,AOC,1,2513809,ABHIJIT SAMANTARAY,16-Jul-2024 12:39 PM,Accepted-AOC,work order issued,24-Oct-2025 10:55 AM,24-Oct-2025,"INR 477,328",30.0,Anuradha Pradhan,24-Oct-2025 10:54 AM,310.pdf (1012.00 KB),chairperson,Internal,,Anuradha Pradhan,18-Oct-2025 12:55 PM,techsummary_502423.pdf (1011.74 KB),chairperson,Internal,,Anuradha Pradhan,18-Oct-2025 01:10 PM,finsummary_502423.pdf (1011.74 KB),Municipal Bodies||Jatni Municipal Council,2024_ORULB_103438_3,EO/JMC/078/2024-25,Construction of B.T Road from Manoj Achrya House towards Mahesh Agrawal House at Gopabandhu Nagar W.N- 8,1.0,2513809.0,ABHIJIT SAMANTARAY,INR,"477,328",Finance,three bidders are participated,Suryamani Pattajoshi,18-Jul-2024 05:26 PM,finance_502423.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,emd,AOC,2,2513714,PRIYABRATA BALIARSINGH,16-Jul-2024 01:00 PM,Rejected-Finance,excess,18-Oct-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2513741,SATRUGHNA MAJHI,16-Jul-2024 11:12 AM,Rejected-Finance,excess,18-Oct-2025 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
