Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of boundary wall with gate at Govt. Ayurvedic dispensary building at Chakradharpur in the District of Mayurbhanj,Construction of boundary wall with gate at Govt. Ayurvedic dispensary building at Chakradharpur in the District of Mayurbhanj,NA ,NA ,"26,89,059",Civil Works - Buildings,NA ,Tender,90.0,180.0,Mayurbhanj,757002.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MAYURBHANJ",No ,No,14-Jul-2025 03:00 PM,21-Jul-2025 05:30 PM,14-Jul-2025 03:00 PM,21-Jul-2025 05:00 PM,14-Jul-2025 03:00 PM ,21-Jul-2025 03:00 PM ,14-Jul-2025 03:00 PM,21-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavits and other documents as per DTCN,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"26,891",Yes,percentage,1.0%,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION, MAYURBHANJ",CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,02(Online)/RWD/BPD/2025-26,2025_CERWI_115529_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,08-Oct-2025,"INR 2,285,969",180.0,Rajesh Pradhan,31-Oct-2025 12:40 PM,Chakradharpur.pdf (660.00 KB),1,3002595,AJAY KUMAR GIRI,19-Jul-2025 05:09 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,R.Pradhan,Internal,,Dibyamayee Behera,18-Aug-2025 06:47 PM,techsummary_545931.pdf (1173.23 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_115529_1,02(Online)/RWD/BPD/2025-26,Construction of boundary wall with gate at Govt. Ayurvedic dispensary building at Chakradharpur in the District of Mayurbhanj,R.Pradhan,Internal,,Dibyamayee Behera,25-Aug-2025 05:41 PM,finsummary_545931.pdf (1173.23 KB),Finance,.,Dibyamayee Behera,18-Aug-2025 06:42 PM,finance_545931.pdf,BOQ Comparative Chart,1.0,3007019.0,Tanmay Kumar Mohanty,INR,"2,285,969",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3005176,AJAY KUMAR SETHI,20-Jul-2025 03:50 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3004515,BASANTI BEHERA,19-Jul-2025 07:41 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3004452,BHABANI SHANKAR SETHI,20-Jul-2025 02:33 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3005936,CHAKRADHAR SINGH,21-Jul-2025 02:01 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3007415,CHITTARANJAN KHILAR,21-Jul-2025 04:39 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3003816,DAYANIDHI PATRA,20-Jul-2025 11:21 AM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3004536,DEBASHIS BARIK,20-Jul-2025 02:26 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3002942,DINESH KUMAR NAYAK,19-Jul-2025 06:46 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3003437,GOURI SANKAR MOHAPATRA,21-Jul-2025 01:06 PM,Rejected-AOC,unsuccessful tenderer,31-Oct-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
