Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Construction of new gate ,Gci Sheet shed, RCC drain and Repair and renovation at DHH/BBMCH,Blangir",Building work,Please refer tender document ,NA ,"37,96,826",Civil Works - Buildings,NA ,Tender,90.0,90.0,Balangir,767001.0,NA ,NA ,NA ,"O/O S.E,Balangir (R and B) Division,Balangir",No ,No,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,BGR (R and B)-25 of 2024-25,2025_EICCL_112778_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,27-May-2025 11:00 AM,06-Jun-2025 11:30 AM,27-May-2025 11:00 AM,05-Jun-2025 05:00 PM,27-May-2025 11:00 AM ,03-Jun-2025 05:00 PM ,27-May-2025 11:00 AM,05-Jun-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof Copy Tender cost and EMD, Registration Certificate, PAN, GSTIN,etc.","S.E,Balangir (R and B) Division,Balangir","O/O S.E,Balangir (R and B) Division,Balangir","6,000",0.0,Nil,Nil,No,"38,000",Yes,fixed,,Nil,Nil,AOC,1,2950139,AKARSHAN JHA,03-Jun-2026 10:15 AM,Rejected-Finance,Loose the transparent lottery system,24-Jul-2025 05:20 PM,25-Jul-2025,"INR 831,444",90.0,ASHUTOS JENA,06-Oct-2025 04:59 PM,AOCforconstofnewconferencehallmodularkitchenatDHH.pdf (349.00 KB),"The work is awarded to Smt. Babita Agrawal, ""C""Class Contractor",Ashutos Jena,Internal,,ASHUTOS JENA,24-Jul-2025 05:03 PM,techsummary_541037.pdf (1561.53 KB),Ashutos Jena,Internal,,ASHUTOS JENA,31-May-2026 10:15 AM,finsummary_541037.pdf (350.88 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB DIVN BOLANGIR,2025_EICCL_112778_1,BGR (R and B)-25 of 2024-25,"Construction of new gate ,Gci Sheet shed, RCC drain and Repair and renovation at DHH/BBMCH,Blangir",1.0,2948394.0,BIBEKA NANDA MISHRA,INR,"831,444",Finance,Total 16 (Sixteen)Nos. bidders were participated and their documents are opened for further evaluation.,Prabhasini Sarangi,12-Jun-2025 12:36 PM,finance_541037.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"No relationship Certificate, affidavit ,details of Plant and machineries etc.",,,,,,,,,,,,,,AOC,2,2948394,BIBEKA NANDA MISHRA,04-Jun-2025 11:54 AM,Accepted-AOC,being the 1st lowest percentage bidder the contractor won the transparent lottery system,06-Oct-2025 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others document as per DTCN,,,,,,,,,,,,,,AOC,3,2948321,BISHNUDUTTA MISHRA,02-Jun-2025 12:54 PM,Rejected-Finance,Loose the transparent lottery system,24-Jul-2025 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,AOC,4,2952144,CHINMAYA SINGH GADTIA,05-Jun-2025 11:39 AM,Rejected-Finance,Loose the transparent lottery system,24-Jul-2025 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2952352,GOPAL PRASAD DANI,05-Jun-2025 01:12 PM,Rejected-Finance,Non responsive has not secured marks against the requirement.,24-Jul-2025 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2950184,H R CONSTRUCTIONS,03-Jun-2025 05:30 PM,Rejected-Finance,Loose the transparent lottery system,24-Jul-2025 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2949621,Janmesh Kumar Tripathy,03-Jun-2025 12:12 PM,Rejected-Finance,Loose the transparent lottery system,24-Jul-2025 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2951611,MAHADEV KALSAE,31-May-2026 10:15 AM,Rejected-Finance,Loose the transparent lottery system,24-Jul-2025 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2948879,MANAS RANJAN NANDA,02-Jun-2025 03:57 PM,Rejected-Finance,Loose the transparent lottery system,24-Jul-2025 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2942621,M/S GPS ELECTRICALS,03-Jun-2025 12:08 PM,Rejected-Finance,Loose the transparent lottery system,24-Jul-2025 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
