Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
S/R to Court Building at Govindpur for the year 2025-26.,S/R to Court Building at Govindpur for the year 2025-26.,NA ,NA ,"2,54,050",Civil Works - Buildings,NA ,Tender,90.0,30.0,Kuchinda,768222.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KUCHINDA",No ,No,Superintending Engineer,"RURAL WORKS DIVISION, KUCHINDA",1.0,ICICI BANK,"2,541",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SAMBALPUR||RW Division Kuchinda,online Tender 03 RWD Kuchinda 2025 26,2025_CERWI_117659_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,04-Sep-2025 05:00 PM,16-Sep-2025 11:00 AM,04-Sep-2025 05:00 PM,15-Sep-2025 05:00 PM,04-Sep-2025 05:00 PM ,13-Sep-2025 05:00 PM ,04-Sep-2025 05:00 PM,15-Sep-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST,EMD,RC,GSTIN,AFFIDAVIT,PAN, DOCUMENT AS PER DTCN",AOC,13-Oct-2025,"INR 215,968",30.0,Debarsi Naik,29-Oct-2025 12:14 PM,6867.pdf (313.00 KB),AOC,1,3080296,BHESAJA KUMAR PATTA,15-Sep-2025 12:56 AM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,Superintending Engineer,Internal,Divisional Accounts Officer JE Estimator,Debarsi Naik,22-Sep-2025 06:33 PM,techsummary_551388.pdf (349.95 KB),Superintending Engineer,Internal,"Divisional Accounts Officer, JE Estimators",Debarsi Naik,23-Sep-2025 02:02 PM,finsummary_551388.pdf (349.95 KB),CE RW I||RWCIRCLE-SAMBALPUR||RW Division Kuchinda,2025_CERWI_117659_1,online Tender 03 RWD Kuchinda 2025 26,S/R to Court Building at Govindpur for the year 2025-26.,1.0,3080190.0,BISHAL AGRAWAL,INR,"215,968",Finance,Bid Opened,Debarsi Naik,17-Sep-2025 05:44 PM,finance_551388.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC,,,,,,,,2,3079400,BINAPANI PATEL,14-Sep-2025 12:36 PM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3078163,Binata Pandey,14-Sep-2025 06:34 AM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3080190,BISHAL AGRAWAL,15-Sep-2025 01:13 AM,Accepted-AOC,Accepted through transparent lottery process,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3077662,DEBENDRA KISAN,12-Sep-2025 02:59 PM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3079733,MAHAKUL CONSTRUCTION,14-Sep-2025 04:57 PM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3080102,MOHAMMAD GULAM GOUS,14-Sep-2025 09:39 PM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3073820,PRASANTA KUMAR DAS,10-Sep-2025 12:57 PM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3079051,PUJARANI SAMAL,14-Sep-2025 02:23 PM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3072595,RAJESH KUMAR PATEL,09-Sep-2025 06:35 PM,Rejected-AOC,Rejected,29-Oct-2025 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
