Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
BDO NARSINHGPUR,PANCHAYAT SAMITI NARSINHGPUR,1.0,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NARASINGHPUR Block,NSP/09/2025-26,2025_PRBN_113059_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,Yes,"23,000",Yes,fixed,,Nil,Nil,Const. of GPLF building with market complex at SARADHAPUR,Const. of GPLF building with market complex at SARADHAPUR,Please refer Tender documents. ,NA ,"22,63,213",Civil Works - Buildings,NA ,Tender,90.0,NA ,SARADHAPUR,754032.0,NA ,NA ,NA ,PANCHAYAT SAMITI NARSINHGPUR,No ,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,05-May-2025 10:00 AM,20-May-2025 11:00 AM,05-May-2025 10:00 AM,19-May-2025 05:00 PM,05-May-2025 10:00 AM ,19-May-2025 03:00 PM ,05-May-2025 10:00 AM,19-May-2025 05:00 PM,AOC,1.0,2921653.0,SAI CHANDAN MOHAPATRA,INR,"1,923,957",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NARASINGHPUR Block,2025_PRBN_113059_1,NSP/09/2025-26,Const. of GPLF building with market complex at SARADHAPUR,Block Development Officer,Internal,,PRALAYANANDA SATAPATHY,27-Jul-2025 06:49 PM,techsummary_538261.pdf (953.32 KB),28-Oct-2025,"INR 1,923,957",240.0,PRALAYANANDA SATAPATHY,28-Oct-2025 08:14 AM,Saradhapur.pdf (1067.00 KB),Block Development Officer,Internal,,PRALAYANANDA SATAPATHY,27-Jul-2025 06:52 PM,finsummary_538261.pdf (953.32 KB),Finance,"On opening of the Technical and Financial Bid, it is found that all the 10 bidders have been participated in the tender",PRALAYANANDA SATAPATHY,27-Jul-2025 06:30 PM,,BOQ Comparative Chart,1,2924074,AJIT KUMAR NAYAK,19-May-2025 12:03 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2923355,ALOKRANJAN BHOI,18-May-2025 11:25 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2923607,BISWARANJAN SAHOO,18-May-2025 04:40 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2925078,JYOTI RANJAN DASH,19-May-2025 03:52 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2925050,NIHAR RANJAN ROUT,19-May-2025 02:34 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2925013,Pradeep Kumar Panda,19-May-2025 02:23 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2924992,RADHAKANTA DALAI,19-May-2025 02:12 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2915146,ROSALIN NAYAK,13-May-2025 11:57 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2921653,SAI CHANDAN MOHAPATRA,16-May-2025 09:51 PM,Accepted-AOC,Work Order issued in his favour,28-Oct-2025 08:14 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2924025,SATYA SANKAR SAHU,18-May-2025 11:54 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,27-Jul-2025 06:52 PM,AOC
