Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Const. of Additional Class Room at Tinigarh Nodal B.P, Achalakot G.P under Tigiria Block","Const. of Additional Class Room at Tinigarh Nodal B.P, Achalakot G.P under Tigiria Block",Please refer Tender documents. ,NA ,"12,41,746",Civil Works - Buildings,NA ,Tender,90.0,180.0,ACHALKOTE,754030.0,NA ,NA ,NA ,O/o the Panchayat Samitit Tigiria,No ,No,BLOCK DEVELOPMENT OFFFICER TIGIRIA,AT/PO-PANCHAGAON PS-TIGIRIA,1,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||TIGIRIA Block,TB-1/2025-26,2025_PRBTG_113810_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,24-May-2025 10:00 AM,10-Jun-2025 11:30 AM,24-May-2025 10:00 AM,09-Jun-2025 05:00 PM,NA ,NA ,24-May-2025 10:00 AM,09-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"12,417",Yes,percentage,1.0%,Nil,Nil,AOC,Block Development Officer Tigiria,Internal,"BDO,AEE,AE,AO,JE",MONOSWINI DAS,24-Oct-2025 02:06 PM,finsummary_540981.pdf (898.67 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||TIGIRIA Block,2025_PRBTG_113810_4,TB-1/2025-26,"Const. of Additional Class Room at Tinigarh Nodal B.P, Achalakot G.P under Tigiria Block",1.0,2945046.0,SAGARIKA SWAIN,INR,"1,055,608",Finance,Accept,MONOSWINI DAS,16-Jun-2025 11:31 AM,,BOQ Comparative Chart,1,2941124,BINODANANDA MOHAPATRA,29-May-2025 05:45 PM,Rejected-Finance,Through Transparent Lottery,24-Oct-2025 02:06 PM,24-Oct-2025,"INR 1,055,608",180.0,MONOSWINI DAS,24-Oct-2025 02:22 PM,AOC.pdf (1051.00 KB),"Monoswinidas, BDO",Internal,"BDO,Publisher,AEE,Creato,rAE,Opener,AO,Member,JE,Evaluator",MONOSWINI DAS,19-Jun-2025 02:01 PM,techsummary_540981.pdf (313.58 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2945046,SAGARIKA SWAIN,31-May-2025 08:14 PM,Accepted-AOC,Selected to L1 through Transparent Lottery,24-Oct-2025 02:23 PM,,,,,,,,,,,,,AOC
