Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"EXECUTIVE OFFICER,JATNI MUNICIPALITY","EXECUTIVE OFFICER,JATNI MUNICIPALITY",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,EPF ,Affidavits and all Other document as per DTCN",Municipal Bodies||Jatni Municipal Council,EO/JMC/081/2024-25,2025_ORULB_110158_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,Construction of Paver Block Road from Jagannath Temple backside to Chhabi Maharana house in Ward No.23,Construction of Paver Block Road from Jagannath Temple backside to Chhabi Maharana house in Ward No.23,Please refer Tender documents. ,NA ,"6,77,963",Civil Works - Others,NA ,Tender,30.0,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",752050.0,NA ,NA ,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",No ,No,1,ICICI BANK,"6,780",Yes,percentage,1.0%,Nil,Nil,07-Feb-2025 11:00 AM,19-Feb-2025 11:00 AM,07-Feb-2025 11:00 AM,17-Feb-2025 05:00 PM,NA ,NA ,07-Feb-2025 11:00 AM,17-Feb-2025 05:00 PM,AOC,chairperson,Internal,,Anuradha Pradhan,22-Oct-2025 04:54 PM,techsummary_528992.pdf (1200.46 KB),chairperson,Internal,,Anuradha Pradhan,22-Oct-2025 04:59 PM,finsummary_528992.pdf (1200.46 KB),Finance,two bidders are participated,Anuradha Pradhan,02-Jul-2025 12:35 PM,finance_528992.pdf,BOQ Comparative Chart,1,2821228,NIHAR RANJAN SENAPATI,16-Feb-2025 10:15 PM,Rejected-Finance,excess,22-Oct-2025 04:59 PM,1.0,2818442.0,NILAKANTHA BEHERA,INR,"677,963",Municipal Bodies||Jatni Municipal Council,2025_ORULB_110158_14,EO/JMC/081/2024-25,Construction of Paver Block Road from Jagannath Temple backside to Chhabi Maharana house in Ward No.23,22-Oct-2025,"INR 677,963",30.0,Anuradha Pradhan,22-Oct-2025 05:03 PM,1431.pdf (1200.00 KB),AOC
,,,,.xls,emd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2818442,NILAKANTHA BEHERA,15-Feb-2025 08:29 PM,Accepted-AOC,work order issued,22-Oct-2025 05:03 PM,,,,,,,,,,,,,,,,AOC
