Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Superintending Engineer,Internal,,Gyanaranjan Mohanty,14-Oct-2025 01:45 PM,techsummary_546490.pdf (947.22 KB),CE-NH||NHCIRCLE-NORTH-BBSR||EENH-DIVN-PALLAHRA,2025_CENH_115748_1,01 / EE NH Pallahara of 2025-26,Construction of RCC covered drain,1.0,3023896.0,DEBAKANTA MALLICK,INR,"3,459,320",1,3024157,BIDYADHAR SAMAL,05-Aug-2025 11:09 AM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,14-Oct-2025,"INR 3,459,320",90.0,Gyanaranjan Mohanty,14-Oct-2025 02:08 PM,LetterNo2208.pdf (862.00 KB),The commencement date 26092025,Finance,BIDS downloaded successfully,Gyanaranjan Mohanty,06-Aug-2025 02:01 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,,Gyanaranjan Mohanty,14-Oct-2025 02:00 PM,finsummary_546490.pdf (947.22 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of Tender cost, EMD, GSTIN, PAN, Affidavit etc",1.0,ICICI BANK,The Superintending Engineer NH Division Pallahara,Office of Executive Engineer NH Division Pallahara,Construction of RCC covered drain,Construction of RCC covered drain from Ch.312/891 to 313/132km. LHS( near Maa Kali Temple) and from Ch. 313/588 to 313/780 km. RHS ( near Talbeda) on N.H.53 for the year 2025-26.,As per Tender Documents ,NA ,"40,69,309",Civil Works - Highways,NA ,Tender,90.0,90.0,Pallahara,759119.0,NA ,NA ,NA ,Office of Executive Engineer NH Division Pallahara,No ,No,"40,700",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,CE-NH||NHCIRCLE-NORTH-BBSR||EENH-DIVN-PALLAHRA,01 / EE NH Pallahara of 2025-26,2025_CENH_115748_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,21-Jul-2025 11:00 AM,06-Aug-2025 11:30 AM,21-Jul-2025 11:05 AM,05-Aug-2025 05:00 PM,NA ,NA ,21-Jul-2025 11:05 AM,05-Aug-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3021037,BISWAJIT SAMAL,04-Aug-2025 10:00 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3024436,BRAHMANANDA SAHOO,05-Aug-2025 12:50 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3020504,DEBABRAT SWAIN,01-Aug-2025 02:49 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3023896,DEBAKANTA MALLICK,04-Aug-2025 09:41 PM,Accepted-AOC,LOTTERY WINNER,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3018983,DIGDARSAN BEHERA,31-Jul-2025 11:52 AM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3021345,MANOJ KUMAR DALEI,02-Aug-2025 01:27 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3023088,PAPUN BISWAL,04-Aug-2025 01:46 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3021026,PRABINA KUMAR SAMAL,02-Aug-2025 12:34 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3024410,PRABIN KUMAR BEHERA,05-Aug-2025 12:37 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3020933,Rohit Kisan,01-Aug-2025 10:27 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3022088,SABITA SETHI,03-Aug-2025 11:05 AM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3024490,SABITRI SAHOO,05-Aug-2025 01:04 PM,Rejected-Technical,Not Eligible,14-Oct-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3010464,SUSANTA KUMAR DEHURY,23-Jul-2025 09:49 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,15,3023037,SUSANTA KUMAR SAHOO,04-Aug-2025 01:13 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,16,3022391,TOFAN KUMAR PATRA,03-Aug-2025 06:30 PM,Rejected-AOC,LOTTERY,14-Oct-2025 02:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
