S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3061057.0,AKASH KUMAR SAHOO,INR,"468,374",Finance,Five Nos Bidder,Suresh Chandra Munda,18-Oct-2025 05:33 PM,finance_550126.pdf,BOQ Comparative Chart,SE DID,Internal,"SE, AEE, Estimator",Suresh Chandra Munda,23-Oct-2025 02:15 PM,finsummary_550126.pdf (361.86 KB),CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||Deogarh Irrigation Division Deogarh,2025_CEBBS_117148_9,SEDID-02/2025-26,"S/R to VRB at RD 6015m, 5755m and 2810mm, Fall at RD 5660m of Kundajhari Minor in Tentalabahal Disty for 2025-26.",SE DID,Internal,"SE, AEE, Estimator",Suresh Chandra Munda,23-Oct-2025 11:44 AM,techsummary_550126.pdf (361.86 KB),1,3061057,AKASH KUMAR SAHOO,02-Sep-2025 01:26 PM,Accepted-AOC,Qualified in Lottery System.,23-Oct-2025 02:21 PM,23-Oct-2025,"INR 468,374",90.0,Suresh Chandra Munda,23-Oct-2025 02:20 PM,9.pdf (668.00 KB),AOC,SE DID,"O/o the SE, Deogarh Irrigation Division, Deogarh","S/R to VRB at RD 6015m, 5755m and 2810mm, Fall at RD 5660m of Kundajhari Minor in Tentalabahal Disty for 2025-26.","S/R to VRB at RD 6015m, 5755m and 2810mm, Fall at RD 5660m of Kundajhari Minor in Tentalabahal Disty for 2025-26.",C and D class Contractor ,NA ,"5,50,964",Civil Works - Canal,NA ,Tender,90.0,90.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o the SE, Deogarh Irrigation Division, Deogarh",No ,No,1.0,ICICI BANK,22-Aug-2025 11:00 AM,04-Sep-2025 11:00 AM,22-Aug-2025 11:00 AM,03-Sep-2025 05:00 PM,22-Aug-2025 11:00 AM ,03-Sep-2025 05:00 PM ,22-Aug-2025 11:00 AM,03-Sep-2025 05:00 PM,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||Deogarh Irrigation Division Deogarh,SEDID-02/2025-26,2025_CEBBS_117148_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GST, Pan, RC etc. as per DTCN","4,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3047012,ANIL KUMAR SAHU,24-Aug-2025 09:56 PM,Rejected-AOC,Qualified in Lottery System.,23-Oct-2025 02:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3055887,LALIT MITRA,31-Aug-2025 11:33 AM,Rejected-AOC,Qualified in Lottery System.,23-Oct-2025 02:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3057246,MAHESWARI PRASAD GANGDEB,31-Aug-2025 09:30 AM,Rejected-AOC,Qualified in Lottery System.,23-Oct-2025 02:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3055711,SANJAY KUMAR SAHOO,31-Aug-2025 02:13 PM,Rejected-AOC,Qualified in Lottery System.,23-Oct-2025 02:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
