Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"PAN GSTIN, License, Affidavit and as per DTCN",Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore","63,200",Yes,fixed,,Nil,Nil,14-Jul-2025 06:00 PM,24-Jul-2025 11:00 AM,14-Jul-2025 06:00 PM,23-Jul-2025 05:00 PM,NA ,NA ,14-Jul-2025 06:00 PM,23-Jul-2025 05:00 PM,12-Aug-2025 12:00 PM,"10,000",0.0,Nil,Nil,No,Construction of Gajabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,Construction of Gajabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,Please refer tender documents  ,NA ,"63,11,033",Civil Works - Water Works,NA ,Tender,90.0,120.0,Bandhugaon,764027.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY03/2025-26,2025_CEMIB_115408_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1,3009119,BHUJABALA DAKUA,22-Jul-2025 06:48 PM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,18-Oct-2025,"INR 5,365,009",120.0,Nihar Ranjan Behera,18-Oct-2025 12:37 PM,Gajabadiaoc.pdf (153.00 KB),AOC,Finance,On Opening the bids total 24nos.of bids were found to be received online.Hence 24nos. of bids were found to be valid.,Nihar Ranjan Behera,18-Oct-2025 12:21 PM,finance_545698.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Nihar Ranjan Behera,11-Aug-2025 05:55 PM,12-Aug-2025 12:00 PM,techsummary_545698.pdf (323.24 KB),Superintending Engineer,Internal,,Nihar Ranjan Behera,18-Oct-2025 12:30 PM,finsummary_545698.pdf (173.48 KB),Technical,On opening of Bids total 24Nos of Bids were found to be received online. Hence 24Nos of Bids were found to be valid.,Nihar Ranjan Behera,11-Aug-2025 05:46 PM,,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_115408_1,MIDJEY03/2025-26,Construction of Gajabadi Check Dam over Local nalla in Bandhugaon Block of Koraput District under MATY,1.0,3008252.0,Tuna Kandhapan,INR,"5,365,009",AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3009923,CHALA CHIRANJIVI,23-Jul-2025 02:02 PM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3008079,CHANDRA SEKHAR SAHUKAR,22-Jul-2025 09:18 AM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3010125,CHINMAY NAYAK,23-Jul-2025 03:58 PM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3004570,DAITARI BENIA,21-Jul-2025 12:06 PM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3004989,DILIP KUMAR PRADHAN,20-Jul-2025 02:31 PM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3009597,G DEEPAK KUMAR,23-Jul-2025 11:15 AM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3009203,JITENDRA SUBUDHI,22-Jul-2025 09:09 PM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3009052,JYOTI RANJAN RAUT,22-Jul-2025 05:48 PM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3009734,LAXMIKANTA BIDIKA,23-Jul-2025 12:56 PM,Rejected-AOC,Reject,18-Oct-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
