S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1,ICICI BANK,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, RC, PAN, GST, No Relation certificate","12,000",Yes,fixed,,Nil,Nil,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||NARALA Block,PS-NRL-T-2/2024-25,2025_PRNB_110577_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of Addl. Class room at Bamak Elementary school, GP- Kurmel under Narla Block",Building,Please refer Tender documents. ,NA ,"12,18,493",Civil Works - Buildings,NA ,Tender,90.0,180.0,Narla,766100.0,NA ,NA ,NA ,"O/o Panchayat Samiti, Narla",No ,No,"Block Development officer, Narla","O/o Panchayat Samiti, Narla",14-Feb-2025 11:00 AM,28-Feb-2025 11:00 AM,14-Feb-2025 11:00 AM,27-Feb-2025 05:00 PM,14-Feb-2025 11:00 AM ,18-Feb-2025 05:00 PM ,14-Feb-2025 11:00 AM,27-Feb-2025 05:00 PM,AOC,"Block Development Officer, Narla",Internal,,Bipin Bihari Deep,16-Oct-2025 12:55 PM,techsummary_529940.pdf (432.74 KB),1.0,2838109.0,BHUBANESWAR SAHU,INR,"1,035,841",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||NARALA Block,2025_PRNB_110577_2,PS-NRL-T-2/2024-25,"Construction of Addl. Class room at Bamak Elementary school, GP- Kurmel under Narla Block",1,2838674,AKASH KUMAR AGRAWAL,26-Feb-2025 11:14 PM,Rejected-Finance,Disqualified,16-Oct-2025 12:59 PM,"Block Development Officer, Narla",Internal,,Bipin Bihari Deep,16-Oct-2025 12:59 PM,finsummary_529940.pdf (432.74 KB),Finance,2 nos.bidder participated,Sudhansu Mahali,28-Feb-2025 06:36 PM,,BOQ Comparative Chart,16-Oct-2025,"INR 1,035,841",180.0,Bipin Bihari Deep,16-Oct-2025 01:03 PM,Bamak.pdf (433.00 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2838109,BHUBANESWAR SAHU,25-Feb-2025 10:23 PM,Accepted-AOC,Qualified,16-Oct-2025 01:03 PM,,,,,,,,,,,,,,,,,,,AOC
