Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,ALL BID DOCUMENTS ARE DOWNLOADED,KISHORE KUMAR BEHERA,02-Aug-2025 04:26 PM,finance_546068.pdf,BOQ Comparative Chart,1.0,3009866.0,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,INR,"929,731.42",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_115587_1,ACE/MCB/MDA-01/2025-26,"Supply ,Fabrication , Erection of gate and Hoist of Ambriguda Check Dam at Village- Ambriguda, Block- Kosagumuda and Sub-division- Nabarangpur under NABARANGPUR MINOR IRRIGATION DIVISION, NABARANGPUR for the year 2024-25",KK behera,Internal,,SANJAYA KUMAR NAYAK,23-Oct-2025 05:30 PM,finsummary_546068.pdf (1498.59 KB),KK behera,Internal,,SANJAYA KUMAR NAYAK,23-Oct-2025 05:05 PM,techsummary_546068.pdf (3164.40 KB),1,3019220,ABHISEKH ENTERPRISERS,31-Jul-2025 01:35 PM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,24-Oct-2025,"INR 1,093,673",90.0,SANJAYA KUMAR NAYAK,24-Oct-2025 11:28 AM,AOC01.pdf (1520.00 KB),AOC,"ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BRAHMAPUR","O/O THE ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BRAHMAPUR",17-Jul-2025 10:00 AM,01-Aug-2025 12:00 PM,17-Jul-2025 10:00 AM,31-Jul-2025 05:30 PM,17-Jul-2025 10:00 AM ,31-Jul-2025 05:30 PM ,17-Jul-2025 10:00 AM,31-Jul-2025 05:30 PM,"Supply ,Fabrication , Erection of gate and Hoist of Ambriguda Check Dam at Village- Ambriguda, Block- Kosagumuda and Sub-division- Nabarangpur under NABARANGPUR MINOR IRRIGATION DIVISION, NABARANGPUR for the year 2024-25","Supply ,Fabrication , Erection of gate and Hoist of Ambriguda Check Dam at Village- Ambriguda, Block- Kosagumuda and Sub-division- Nabarangpur under NABARANGPUR MINOR IRRIGATION DIVISION, NABARANGPUR for the year 2024-25",Please refer Tender documents. ,NA ,"10,93,673",Mechanical Works,NA ,Tender,90.0,90.0,"AMBRIGUDA CHECK DAM, BLOCK-KOSAGUMUDA",764061.0,NA ,NA ,NA ,BRAHMAPUR,No ,No,"11,000",No,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN",1.0,ICICI BANK,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,ACE/MCB/MDA-01/2025-26,2025_CEMWR_115587_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3007560,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",21-Jul-2025 09:30 PM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3015064,BANASHREE BHUYAN,31-Jul-2025 11:36 AM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3017719,BASUDEV PANIGRAHI,30-Jul-2025 12:22 PM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3014969,LAXMIDHRA BHUYAN,30-Jul-2025 10:21 PM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3008168,M/S Abirvab Steel Product,31-Jul-2025 11:25 AM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3009866,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,30-Jul-2025 08:09 PM,Accepted-AOC,Winner of transparent lottery process.,24-Oct-2025 11:28 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3008151,M/S Ashreebad Fabricators,31-Jul-2025 01:07 PM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3009885,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,30-Jul-2025 08:16 PM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3019022,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,31-Jul-2025 12:26 PM,Rejected-Finance,Loser in transparent lottery process.,23-Oct-2025 05:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
