Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,Open,Sanjeet Kumar Naik,31-Oct-2025 05:41 PM,finance_550158.pdf,BOQ Comparative Chart,1.0,3053047.0,RUPAK KUMAR NAYAK,INR,"214,234",CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_117187_1,RD 06,maintenance of RW section office at Jamda moranda building for the year 2025-26,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,31-Oct-2025 05:52 PM,finsummary_550158.pdf (372.55 KB),Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,31-Oct-2025 05:44 PM,techsummary_550158.pdf (372.55 KB),31-Oct-2025,"INR 214,234",30.0,Sanjeet Kumar Naik,31-Oct-2025 05:57 PM,5303.pdf (373.00 KB),1,3061221,AJIT KUMAR JENA,02-Sep-2025 02:29 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD 06,2025_CERWI_117187_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,PAN GSTIN Affidavit as per DTCN,maintenance of RW section office at Jamda moranda building for the year 2025-26,maintenance of RW section office at Jamda moranda building for the year 2025-26,NA ,NA ,"2,52,010",Civil Works - Buildings,NA ,Tender,90.0,30.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR","2,520",Yes,fixed,,Nil,Nil,22-Aug-2025 11:00 AM,03-Sep-2025 11:30 AM,22-Aug-2025 11:00 AM,02-Sep-2025 05:00 PM,22-Aug-2025 11:00 AM ,01-Sep-2025 05:00 PM ,22-Aug-2025 11:00 AM,02-Sep-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3055261,DEV KUMAR MANDAL,29-Aug-2025 05:36 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3052029,DIPTIREKHA KHUNTIA,02-Sep-2025 01:08 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3056848,DOLLY PATRA,30-Aug-2025 07:00 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3060884,HARAPRASAD SARDAR,02-Sep-2025 12:27 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3051393,JAGAT KUMAR SING,27-Aug-2025 04:19 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3057767,JAGATLAL SAHU,31-Aug-2025 04:31 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3058997,JEETENDRA KUMAR MALLICK,01-Sep-2025 01:26 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3056523,KUMUDA RANJAN PRADHAN,30-Aug-2025 04:07 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3061420,LALTU MOHANTA,02-Sep-2025 04:32 PM,Rejected-AOC,Lottery,31-Oct-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
