S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3000405.0,AJAYA KUMAR DAS,INR,"723,927",Finance,24nos bids received,Mohammed Shahbaz,17-Jul-2025 12:15 PM,,BOQ Comparative Chart,Er. Md Shahbaz SE,Internal,Er Rashmirekha Behera AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibash Sr DAO,Mohammed Shahbaz,30-Oct-2025 07:08 PM,finsummary_545726.pdf (1220.63 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_115415_1,SE CTC (RandB)-19 of 2025-26,"S/R to MHI Building in SCBMCH, Cuttack for the year 2025-26 (such as renovation of existing room for EEG facilities)",Er Md Shahbaz Superintending Engineer,Internal,Er Rashmirekha Behera AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibas Sr DAO,Debendra Kumar Behera,04-Aug-2025 12:24 PM,techsummary_545726.pdf (1142.78 KB),1,3000405,AJAYA KUMAR DAS,15-Jul-2025 09:40 PM,Accepted-AOC,Accepted,30-Oct-2025 07:14 PM,30-Oct-2025,"INR 723,927",60.0,Mohammed Shahbaz,30-Oct-2025 07:14 PM,115415_1_A.pdf (388.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 12.09.2025 to complete the work by 11.11.2025 in all respect,AOC,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-19 of 2025-26,2025_EICCL_115415_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,10-Jul-2025 06:00 PM,17-Jul-2025 11:00 AM,10-Jul-2025 06:00 PM,16-Jul-2025 05:00 PM,NA ,NA ,10-Jul-2025 06:00 PM,16-Jul-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,"8,600",Yes,fixed,,Nil,Nil,SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN","S/R to MHI Building in SCBMCH, Cuttack for the year 2025-26 (such as renovation of existing room for EEG facilities)",Building works,As per DTCN ,NA ,"8,51,579",Civil Works - Buildings,NA ,Tender,90.0,60.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3000542,ANIL KUMAR PATRA,16-Jul-2025 08:53 AM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000333,ANITA NAYAK,15-Jul-2025 08:38 PM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3000315,BAPUN KUMAR PRADHAN,15-Jul-2025 07:45 PM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3000800,BIBHUTI BHUSAN SAHOO,16-Jul-2025 12:29 PM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3001116,BIKASH KUMAR NAYAK,16-Jul-2025 03:41 PM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3000809,BINAPANI ROUTRAY,16-Jul-2025 12:36 PM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2999693,CHANDRA SEKHAR BEHERA,15-Jul-2025 09:43 PM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3000833,HRUSHIKESH SAHOO,16-Jul-2025 12:42 PM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3000704,JAGYASENI BEHERA (SC),16-Jul-2025 11:39 AM,Rejected-AOC,Rejected,30-Oct-2025 07:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
