Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",05-Dec-2024 01:00 PM,21-Dec-2024 11:30 AM,05-Dec-2024 01:00 PM,20-Dec-2024 05:30 PM,NA ,NA ,05-Dec-2024 01:00 PM,20-Dec-2024 05:30 PM,10-Jan-2025 05:15 PM,1.0,ICICI BANK,"15,32,000",Yes,fixed,,Nil,Nil,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar.",EIC-CIVIL,CE-ROADS-II-19/2024-25,2024_EICCL_107896_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Improvement of Chhatia town road from 0/000 km to 1/950 km in the district of Jajpur under State Plan,Improvement of Chhatia town road from 0/000 km to 1/950 km in the district of Jajpur under State Plan,Please refer Tender documents. ,NA ,"15,31,50,198",Civil Works - Roads,NA ,Tender,90.0,150.0,Charbatia,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,AOC,1,2704484,DEBABRATA SAMAL,20-Dec-2024 12:09 PM,Rejected-AOC,L1 bidder,23-Oct-2025 06:48 PM,23-Oct-2025,"INR 130,192,983",150.0,Pradipta Kumar Nayak,23-Oct-2025 06:48 PM,Chhatiatownroad_Agrt.pdf (2890.00 KB),21P1 of 2025-26,Finance,Finance opening,Lipsa Mallick,10-Jan-2025 05:26 PM,,BOQ Comparative Chart,EIC Civil Cum Roads,Internal,,Pradipta Kumar Nayak,10-Jan-2025 01:49 PM,10-Jan-2025 05:15 PM,techsummary_519389.pdf (222.86 KB),CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,23-Oct-2025 06:44 PM,finsummary_519389.pdf (2890.07 KB),EIC-CIVIL,2024_EICCL_107896_2,CE-ROADS-II-19/2024-25,Improvement of Chhatia town road from 0/000 km to 1/950 km in the district of Jajpur under State Plan,Technical,6 Nos. Bidder Received,Pradipta Kumar Nayak,21-Dec-2024 01:09 PM,,1.0,2684749.0,SIBA PRASAD PARIDA,INR,"130,192,983",AOC
,,.pdf,Machineries and work experience,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2702590,DPS CONSTRUCTION PRIVATE LIMITED,18-Dec-2024 04:47 PM,Rejected-AOC,L1 bidder,23-Oct-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2703214,GYANENDRA KUMAR ROUTRAY,20-Dec-2024 02:14 PM,Rejected-AOC,L2 bidder,23-Oct-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2687187,M/S GOURAV CONTRUCTION,18-Dec-2024 07:27 PM,Rejected-AOC,L1 bidder,23-Oct-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2704310,R K ASSOCIATES,20-Dec-2024 07:18 AM,Rejected-AOC,L2 bidder,23-Oct-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2684749,SIBA PRASAD PARIDA,18-Dec-2024 08:11 AM,Accepted-AOC,Selected as L1 bidder,23-Oct-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
