S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1,DD - Demand Draft,1,Fee/PreQual/Technical,.pdf,Tender Document,"2,000",OUTR,Bhubaneswar,Yes,Odisha University of Technology and Research,OUTR/EM/AMC-DG/2025-26/10,2025_OUTR_115553_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Offline,No,No,No,Comprehensive Annual Maintenance Contract of DG Sets,Comprehensive Annual Maintenance Contract of 8 DG Sets at OUTR campus.,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,120.0,NA ,"OUTR, Bhubaneswar",751029.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"13,000",Yes,fixed,,OUTR,Bhubaneswar,Registrar,"Odisha University of Technology and Research, Techno campus, Mahalaxmi Vihar, Bhubaneswar, PIN- 751 029",16-Jul-2025 06:00 PM,08-Aug-2025 11:00 AM,16-Jul-2025 06:00 PM,07-Aug-2025 06:00 PM,NA ,NA ,17-Jul-2025 09:00 AM,07-Aug-2025 06:00 PM,30-Aug-2025 10:00 AM,AOC,Mr. P K Behera,Internal,"Dr. L N Tripathy, Dr. U K Rout, Mr. K C Rout",Anjan Kumar Sahoo,26-Aug-2025 10:53 AM,30-Aug-2025 10:00 AM,techsummary_545979.pdf (698.62 KB),1.0,3027420.0,KEES INDUSTRIES INDIA PRIVATE LIMITED,INR,"1,128,000",Odisha University of Technology and Research,2025_OUTR_115553_1,OUTR/EM/AMC-DG/2025-26/10,Comprehensive Annual Maintenance Contract of DG Sets,Technical,Two bidders have participated and documents are downloaded.,NEELAKANTHA GURU,08-Aug-2025 12:09 PM,technical_545979.pdf,1,3027420,KEES INDUSTRIES INDIA PRIVATE LIMITED,07-Aug-2025 04:51 PM,Accepted-AOC,L1 Bidder,08-Oct-2025 02:33 PM,Finance,The finance bid was successfully opened,NEELAKANTHA GURU,30-Aug-2025 10:25 AM,finance_545979.pdf,BOQ Comparative Chart,15-Oct-2025,"INR 1,128,000",1095.0,Ashish Kumar Jena,08-Oct-2025 02:33 PM,WOforAMCofDGset.pdf (2056.00 KB),Mr. P. K. Behera,Internal,"Dr.L.N.Tripathy,Dr.U.K.Rout,Mr.K.C.Rout",Anjan Kumar Sahoo,22-Sep-2025 11:42 AM,finsummary_545979.pdf (761.16 KB),AOC
2,BC - Bankers Cheque,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3026543,RM ENTERPRISES,07-Aug-2025 03:00 PM,Rejected-AOC,L2 Bidder,08-Oct-2025 02:33 PM,,,,,,,,,,,,,,,,,,,AOC
