Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Paralakhemundi,02/2025-26,2025_OLIC_113173_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"Executive Engineer, L.I. Division, Paralakhemundi","Executive Engineer, L.I. Division, Paralakhemundi",Revival of Buguda_II RL project undeer Gosani Block of Gajapati District,Revival of Buguda_II RL project undeer Gosani Block of Gajapati District,Please refer Tender documents. ,NA ,"11,32,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,"Executive Engineer, L.I. Division, Paralakhemundi",761200.0,NA ,NA ,NA ,"Executive Engineer, L.I. Division, Paralakhemundi",No ,No,08-May-2025 11:00 AM,17-May-2025 11:00 AM,08-May-2025 11:00 AM,16-May-2025 05:00 PM,08-May-2025 11:00 AM ,14-May-2025 05:00 PM ,08-May-2025 11:00 AM,16-May-2025 05:00 PM,"7,080",0.0,Nil,Nil,Yes,"11,320",Yes,percentage,1.0%,Nil,Nil,AOC,RAGHUNATH BEHERA,Internal,Rahgunath Behera Jogesh ChandraSahu Suresh Chandra Choudhury Prasan Kumar Rana Bijaya Behera,RAGHUNATH BEHERA,25-Oct-2025 04:46 PM,techsummary_538681.pdf (409.31 KB),Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Paralakhemundi,2025_OLIC_113173_5,02/2025-26,Revival of Buguda_II RL project undeer Gosani Block of Gajapati District,1.0,2917723.0,LABA JENA,INR,"1,132,000.641",1,2921226,CHANDAN ELECTRICAL WORKS,16-May-2025 04:47 PM,Rejected-Technical,"AMONG THE BIDDERS, M/S CHANDAN ELECTRICAL WORKS HAS NOT SUBMITTED MANDATORY DOCUMENTS AS SPECIFIED IN THE DTCN ON THIS PORTAL. HENCE THEIR BID IS REJECTED FROM CONSIDERATION FOR L1 STATUS",25-Oct-2025 04:46 PM,RAGHUNATH BEHERA,Internal,Rahgunath Behera Jogesh Chandra Sahu Suresh Chandra Choudhury Prasan Kumar Rana Bijaya Behera,RAGHUNATH BEHERA,25-Oct-2025 04:51 PM,finsummary_538681.pdf (409.31 KB),Finance,Tender bid successfully opened.,RAGHUNATH BEHERA,17-May-2025 04:48 PM,finance_538681.pdf,BOQ Comparative Chart,25-Oct-2025,"INR 1,132,000.641",90.0,RAGHUNATH BEHERA,25-Oct-2025 04:57 PM,BUGUDAII.pdf (24038.00 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2917723,LABA JENA,14-May-2025 03:10 PM,Accepted-AOC,Lowest Rate Quoted,25-Oct-2025 04:57 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2918027,SUNIL KUMAR BEHERA,14-May-2025 06:47 PM,Rejected-Technical,L2,25-Oct-2025 04:46 PM,,,,,,,,,,,,,,,,,,,AOC
