S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3034320.0,BALDEV PANDA,INR,"19,622,720",WATCO Bhubaneswar||Director (Projects) Watco,2025_DPWTC_116209_1,WATCO (P)-4(01)/2025-26 Dtd.23.07.2025,"Upgradation of 4MLD WTP to 6MLD WTP at Industrial Estate, Jharsuguda for improvement of W/S to Jharsuguda Municipality",Technical,Five no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,14-Aug-2025 12:42 PM,,Managing Director,Internal,,Debabrata Mohanty,16-Oct-2025 12:20 PM,finsummary_547718.pdf (632.47 KB),Managing Director,Internal,,Debabrata Mohanty,12-Sep-2025 11:02 AM,13-Sep-2025 11:30 AM,techsummary_547718.pdf (2339.48 KB),Finance,Two no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,13-Sep-2025 01:46 PM,,BOQ Comparative Chart,1,3034320,BALDEV PANDA,13-Aug-2025 01:37 PM,Accepted-AOC,Lowest bidder,16-Oct-2025 12:22 PM,16-Oct-2025,"INR 19,622,720",365.0,Debabrata Mohanty,16-Oct-2025 12:22 PM,AOC.pdf (294.00 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",Director Projects,"The Director Projects, Office of the Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2391444",1.0,ICICI BANK,"Upgradation of 4MLD WTP to 6MLD WTP at Industrial Estate, Jharsuguda for improvement of W/S to Jharsuguda Municipality","Upgradation of 4MLD WTP to 6MLD WTP at Industrial Estate, Jharsuguda for improvement of W/S to Jharsuguda Municipality",Please refer Tender documents. ,NA ,"2,30,83,000",Civil Works - Water Works,NA ,Tender,120.0,365.0,Jharsuguda Municipality,768201.0,NA ,NA ,NA ,Bhubaneswar,No ,No,WATCO Bhubaneswar||Director (Projects) Watco,WATCO (P)-4(01)/2025-26 Dtd.23.07.2025,2025_DPWTC_116209_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",Nil,Nil,No,"2,31,000",Yes,fixed,,Nil,Nil,30-Jul-2025 11:00 AM,14-Aug-2025 12:30 PM,30-Jul-2025 11:00 AM,13-Aug-2025 05:00 PM,NA ,NA ,30-Jul-2025 11:00 AM,13-Aug-2025 05:00 PM,13-Sep-2025 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3031152,DILLIP KUMAR BEHERA,12-Aug-2025 06:59 PM,Rejected-AOC,Not a lowest bidder,16-Oct-2025 12:22 PM,,,,,,,AOC,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3034579,isar engineers pvt ltd,13-Aug-2025 03:55 PM,Rejected-Technical,Technically disqualified,12-Sep-2025 11:02 AM,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3034793,M/s MASCOT STEELCON,13-Aug-2025 04:09 PM,Rejected-Technical,Technically disqualified,12-Sep-2025 11:02 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3034915,SURYA KANTA NAYAK,13-Aug-2025 04:44 PM,Rejected-Technical,Technically disqualified,12-Sep-2025 11:02 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
