S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
1.0,3051564.0,PRADIP KUMAR NAYAK (SC),INR,"1,334,069",Technical,Proceeding,Rajiba Lochan Behera,04-Sep-2025 01:30 PM,technical_549348.pdf,Municipal Bodies||Hindol NAC,2025_ORULB_116920_1,HDL NAC-01/2025-26,Bhoga Mandap,EO,Internal,,Rajiba Lochan Behera,12-Sep-2025 11:29 AM,finsummary_549348.pdf (208.99 KB),EO,Internal,,Rajiba Lochan Behera,04-Sep-2025 02:49 PM,04-Sep-2025 03:00 PM,techsummary_549348.pdf (269.69 KB),Finance,Proceeding,Rajiba Lochan Behera,11-Sep-2025 04:05 PM,finance_549348.pdf,BOQ Comparative Chart,1,3047899,ANOJ KUMAR PATTANAIK,26-Aug-2025 10:42 PM,Rejected-Finance,Lottery,12-Sep-2025 11:29 AM,17-Oct-2025,"INR 1,334,069",90.0,Rajiba Lochan Behera,17-Oct-2025 05:22 PM,116920.pdf (553.00 KB),Construction of Radhakrishan Bhoga Mandap in Ward No. 08,AOC,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Hindol NAC,HDL NAC-01/2025-26,2025_ORULB_116920_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Bhoga Mandap,Construction of Radhakrishna Bhoga Mandap,Please refer Tender documents. ,NA ,"15,69,309",Civil Works - Buildings,NA ,Tender,120.0,90.0,Hindol NAC Ward No.08,759022.0,NA ,NA ,NA ,HINDOL NAC OFFICE,No ,No,EXECUTIVE OFFICER,NAC OFFICE CAMPUS,"15,693",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Fee Details, Technical Specification, Licence, Addrerss Proof with ID, Agreement, Undertaking",16-Aug-2025 11:00 AM,01-Sep-2025 11:00 AM,16-Aug-2025 11:00 AM,31-Aug-2025 05:00 PM,NA ,NA ,16-Aug-2025 11:00 AM,31-Aug-2025 05:00 PM,04-Sep-2025 03:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3044577,BADRI NARAYAN DAS,22-Aug-2025 02:28 PM,Rejected-Finance,Lottery,12-Sep-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3054961,JITENDRIYA GOCHHAYAT,29-Aug-2025 07:36 PM,Rejected-Finance,Lottery,12-Sep-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3054953,Krishna Chandra Naik,29-Aug-2025 03:46 PM,Rejected-Finance,Lottery,12-Sep-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3054163,PINKI SAHU,29-Aug-2025 12:19 PM,Rejected-Finance,Lottery,12-Sep-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3046535,PRADIP KUMAR DAS,27-Aug-2025 11:51 PM,Rejected-Finance,Lottery,12-Sep-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3051564,PRADIP KUMAR NAYAK (SC),27-Aug-2025 10:48 PM,Accepted-AOC,Lottery,17-Oct-2025 05:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3055747,PRAGYAN PARAMBRAHMA,30-Aug-2025 02:17 PM,Rejected-AOC,Lottery,17-Oct-2025 05:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3047587,Sadananda Behera,25-Aug-2025 12:12 PM,Rejected-Finance,Lottery,12-Sep-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3046913,SAROJ KUMAR BHUTIA,28-Aug-2025 11:46 AM,Rejected-Finance,Lottery,12-Sep-2025 11:29 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
