Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
14-Oct-2025,"INR 5,727,742",180.0,Krushna Chandra Behera,14-Oct-2025 09:22 AM,05.pdf (567.00 KB),Tikeram Bag B Class Engineer Contractor selected as L-1 bidder in transparent lottery process,1.0,3074485.0,TIKERAM BAG,INR,"5,727,742","CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Bolangir Irr Divn. Bolangir",2025_CEBMT_117316_16,e-Procurement Notice No.02/2025-26,Const.of FPE on river Under left at village Parasar from RD 320 m. to 770 m.,1,3066954,ABHIJIT PANIGRAHI,08-Sep-2025 12:58 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,Technical,66 nos of bidders are opened,PRABHANJAN PADHAN,24-Sep-2025 02:20 PM,,K C BEHERA,Internal,,Krushna Chandra Behera,13-Oct-2025 09:09 PM,finsummary_550441.pdf (566.51 KB),Finance,66 nos of bidders are opened,Krushna Chandra Behera,05-Oct-2025 12:15 AM,,BOQ Comparative Chart,P PADHAN,Internal,,PRABHANJAN PADHAN,24-Sep-2025 02:24 PM,24-Sep-2025 02:30 PM,techsummary_550441.pdf (1870.74 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Contractor RC,GSTIN,PAN,Affidavit,EMD,Paper Cost,No relation certificate and other documents as DTCN","10,000",0.0,Nil,Nil,No,25-Aug-2025 10:00 AM,11-Sep-2025 11:00 AM,25-Aug-2025 10:00 AM,10-Sep-2025 05:30 PM,25-Aug-2025 10:00 AM ,03-Sep-2025 05:30 PM ,25-Aug-2025 10:00 AM,10-Sep-2025 05:30 PM,24-Sep-2025 02:30 PM,"67,500",Yes,fixed,,Nil,Nil,Const.of FPE on river Under left at village Parasar from RD 320 m. to 770 m.,Const.of FPE on river Under left at village Parasar from RD 320 m. to 770 m.,Please refer Tender documents. ,NA ,"67,37,000",Civil Works - Water Works,NA ,Tender,90.0,180.0,BALANGIR,767001.0,NA ,NA ,NA ,"O/o the SE, Balangir Irrigation Divn, Balangir",No ,No,"S.E., Balangir Irrigation Divn, Balangir","O/o the SE, Balangir Irrigation Divn, Balangir","CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Bolangir Irr Divn. Bolangir",e-Procurement Notice No.02/2025-26,2025_CEBMT_117316_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,3074572,ABHISEK PANIGRAHI,10-Sep-2025 04:52 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3074158,AMAN BANSAL,10-Sep-2025 04:07 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3063378,anil kumar mohanty,04-Sep-2025 05:20 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3072813,ANKIT KUMAR AGRAWAL,10-Sep-2025 03:11 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3068886,BHARAT MEHER,09-Sep-2025 01:25 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3073431,BHASKAR BEHERA,10-Sep-2025 12:00 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3068672,Bhawani Sankar Harpal,08-Sep-2025 01:27 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3068563,BIBEKA NANDA MISHRA,09-Sep-2025 01:31 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3074234,BIDYUT KUMAR JAIN,10-Sep-2025 04:15 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,3074176,BIJAYA KUMBHAR,10-Sep-2025 03:35 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,3074318,BIKASH KUMAR JAIN,10-Sep-2025 05:19 PM,Rejected-Finance,Rejected,13-Oct-2025 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
