Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Cuttack Municipal Corporation,MCCMCCTC_Div-III_No29/2024-25,2025_ORULB_110028_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,Construction of CC road from Rameswar Temple to Abhiram Behera res at Ramnagar in Ward No.59.,Construction of CC road from Rameswar Temple to Abhiram Behera res at Ramnagar in Ward No.59.,Please refer Tender documents. ,NA ,"42,73,721",Civil Works - Others,NA ,Tender,105.0,90.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,"Executive Engineer,Div-III","Bikash Bhawan,Jagannath Lane,Badambadi-753012",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","42,800",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,18-Feb-2025 02:00 PM,03-Mar-2025 10:00 AM,18-Feb-2025 02:00 PM,27-Feb-2025 05:00 PM,NA ,NA ,18-Feb-2025 02:00 PM,27-Feb-2025 05:00 PM,AOC,Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,13-Oct-2025 04:41 PM,finsummary_530740.pdf (419.14 KB),Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_110028_8,MCCMCCTC_Div-III_No29/2024-25,Construction of CC road from Rameswar Temple to Abhiram Behera res at Ramnagar in Ward No.59.,1.0,2840632.0,AMLAN BURMA PROP. M/S HIGHWAY HORIZON,INR,"3,633,090",Finance,Fourteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Sanjukta Sa,04-Mar-2025 04:26 PM,finance_530740.pdf,BOQ Comparative Chart,13-Oct-2025,"INR 3,633,090",90.0,Antarjyamee Patra,13-Oct-2025 04:44 PM,3341.pdf (506.00 KB),WO,1,2838757,ABHIJIT KUMAR BEHERA,26-Feb-2025 04:14 PM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,13-Oct-2025 04:21 PM,techsummary_530740.pdf (419.14 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2840632,AMLAN BURMA PROP. M/S HIGHWAY HORIZON,27-Feb-2025 04:35 PM,Accepted-AOC,Accepted,13-Oct-2025 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2839856,BHABANI SANKAR MALLIA,27-Feb-2025 01:41 PM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2839643,DIPAK PRADHAN,27-Feb-2025 11:44 AM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2837114,LALITENDU PARIDA,25-Feb-2025 12:18 PM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2840403,"M/S JENA AGENCY, PROP-BIJAY KUMAR JENA",27-Feb-2025 03:29 PM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2840432,M/S MARIYAN FOUNDATION,27-Feb-2025 03:44 PM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2840549,PRATAP KUMAR ROUT,27-Feb-2025 04:24 PM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2837820,SANKAR SAHOO,25-Feb-2025 04:45 PM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2832267,Saroj Kumar Mallick,23-Feb-2025 11:59 AM,Rejected-AOC,Rejected,13-Oct-2025 04:44 PM,,,,,,,AOC
