Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,tender to be open 09.06.2025,BISHNUPRIYA DEHURI,19-Jun-2025 04:23 PM,,BOQ Comparative Chart,30-Jul-2025,"INR 2,857,542",180.0,BISHNUPRIYA DEHURI,09-Oct-2025 12:52 PM,Narendra.pdf (1127.00 KB),"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Boudh Irr Divn Boudh",2025_CEBMT_113627_21,EEBOD-02/25-26,Flood Protection work to the right bank of River Mahanadi near village Govindpur inbetween RD 40.00km to 40.250km of Khutbandh G.P under Boudh Block.,1.0,2953104.0,NARENDRA PRADHAN,INR,"2,857,542",1,2951901,Abinash Ajeya Dehury,05-Jun-2025 01:23 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,executive Engineer,Internal,,BISHNUPRIYA DEHURI,01-Jul-2025 04:58 PM,techsummary_540910.pdf (1476.01 KB),executive Engineer,Internal,,NARESH KUMAR BARIK,02-Jul-2025 12:41 PM,finsummary_540910.pdf (1347.26 KB),AOC,"6,000",0.0,Nil,Nil,No,Flood Protection work to the right bank of River Mahanadi near village Govindpur inbetween RD 40.00km to 40.250km of Khutbandh G.P under Boudh Block.,Flood Protection,Please refer Tender documents. ,NA ,"33,61,000",Civil Works - Others,NA ,Tender,90.0,180.0,Boudh,762014.0,NA ,NA ,NA ,"o/o Executive Engineer,Boudh Irr.Division,Boudh",No ,No,26-May-2025 11:00 AM,09-Jun-2025 11:00 AM,26-May-2025 11:00 AM,06-Jun-2025 05:00 PM,26-May-2025 11:00 AM ,31-May-2025 05:00 PM ,26-May-2025 11:00 AM,06-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost,PAN, GST, Contractor RC, Affidavit","33,620",Yes,fixed,,Nil,Nil,Executive engineer,"o/o Executive Engineer,Boudh Irr.Division,Boudh",1.0,ICICI BANK,"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Boudh Irr Divn Boudh",EEBOD-02/25-26,2025_CEBMT_113627_21,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,2954391,ANTARJYAMI GAIGOURIA,06-Jun-2025 02:02 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Financial,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,2953016,ASHUTOSH BADAMALI,05-Jun-2025 04:36 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2954433,ASHUTOSH MAHAPATRA,06-Jun-2025 02:24 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2954673,ASWINI KUMAR PRADHAN,06-Jun-2025 04:26 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2953173,BAIJAYANTI JAGADALA,05-Jun-2025 06:33 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2953753,Beauty Agrawal,06-Jun-2025 11:16 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2949129,BIJAYA KUMAR PRUSTY,02-Jun-2025 05:54 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2951428,BISWAJIT SAHOO,05-Jun-2025 11:51 AM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2953705,Biswambhar karna,06-Jun-2025 12:16 PM,Rejected-Finance,NOT FOUND l1 IN THE LOTTERY PROCESS,02-Jul-2025 12:41 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
