Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Barbil Municipality,BBLM-3/2025-26,2025_ORULB_114985_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,DTCN,1,ICICI BANK,"2,000",0.0,Nil,Nil,No,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,02-Jul-2025 10:00 AM,17-Jul-2025 11:00 AM,02-Jul-2025 10:00 AM,16-Jul-2025 05:00 PM,NA ,NA ,02-Jul-2025 10:00 AM,16-Jul-2025 05:00 PM,04-Aug-2025 06:00 PM,"2,850",Yes,percentage,1.0%,Nil,Nil,"Repair of drain from Shiv Lal office to Essel Mining office, Ward No.4, Barbil","Repair of drain from Shiv Lal office to Essel Mining office, Ward No.4, Barbil",Please refer Tender documents. ,NA ,"2,85,000",Civil Works - Water Works,NA ,Tender,60.0,60.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality,No ,No,AOC,Municipal Bodies||Barbil Municipality,2025_ORULB_114985_8,BBLM-3/2025-26,"Repair of drain from Shiv Lal office to Essel Mining office, Ward No.4, Barbil",Technical,Open,Ramesh Chandra Nayak,19-Jul-2025 01:29 PM,technical_544746.pdf,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,23-Oct-2025 12:03 PM,finsummary_544746.pdf (386.21 KB),1.0,2999807.0,BISWAJIT DAS,INR,"284,472",1,2999807,BISWAJIT DAS,15-Jul-2025 12:50 PM,Accepted-AOC,Contact value including GST,23-Oct-2025 12:08 PM,23-Oct-2025,"INR 284,472",60.0,Ramesh Chandra Nayak,23-Oct-2025 12:08 PM,wo8.pdf (270.00 KB),Contact value including GST,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,04-Aug-2025 05:48 PM,04-Aug-2025 06:00 PM,techsummary_544746.pdf (1162.82 KB),Finance,Open,Ramesh Chandra Nayak,05-Aug-2025 01:13 PM,finance_544746.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2999850,JITENDRA KUMAR BEHERA,15-Jul-2025 01:13 PM,Rejected-Finance,second,23-Oct-2025 12:03 PM,,,,,,,,,,,,,,,,,,,,,AOC
