Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Tender Stage
Technical,15 (Fifteen) bids has been received subjected to evaluation by committee,Shreejit Das,15-Jul-2025 12:31 PM,,R K PANDA,Internal,S JENA S PADHI BANITA PATRA,Satyajit Jena,28-Oct-2025 10:53 AM,finsummary_544255.pdf (289.54 KB),Orissa Mining Corporation,2025_OMC_114814_2,NIT No.01/OMC/ELECTRICAL/2025,Power supply to Dy.Director Of Mines Office at Koira in the district of Sundergarh.,1.0,2998618.0,DIVINE ENTERPRISES,INR,"7,381,756.61",28-Oct-2025,"INR 7,381,756.61",120.0,Satyajit Jena,28-Oct-2025 01:02 PM,2025_OMC_114814_2.pdf (738.00 KB),Power supply to Dy.Director Of Mines Office at Koira in the district of Sundergarh.,Finance,Financial bid of 12 (Twelve) qualified bidders had been open,Shreejit Das,04-Aug-2025 04:59 PM,,BOQ Comparative Chart,1,2993452,AADYA URJA SOLUTIONS PRIVATE LIMITED,12-Jul-2025 06:02 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 10:53 AM,A K PAL,Internal,J N CHANDRA S R PATTNAIK P K BISWAL N C BEHERA,Satyajit Jena,02-Aug-2025 12:33 PM,04-Aug-2025 03:00 PM,techsummary_544255.pdf (678.46 KB),AOC,Orissa Mining Corporation,NIT No.01/OMC/ELECTRICAL/2025,2025_OMC_114814_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requireme",Power supply to Dy.Director Of Mines Office at Koira in the district of Sundergarh.,Power supply to Dy.Director Of Mines Office at Koira in the district of Sundergarh.,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requirements. ",NA ,"86,84,000",Electrical Works,NA ,Tender,180.0,120.0,KOIRA,770048.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,1.0,CORRIGENDUM-2,Date,,24-Jun-2025 06:00 PM,15-Jul-2025 11:00 AM,24-Jun-2025 06:00 PM,14-Jul-2025 05:00 PM,NA ,NA ,24-Jun-2025 06:00 PM,14-Jul-2025 05:00 PM,04-Aug-2025 03:00 PM,"11,800",0.0,Nil,Nil,No,"86,840",Yes,fixed,,Nil,Nil,"GM(ELECTRICAL), OMC Ltd.","Office of the GM(ELECTRICAL), OMC Ltd., Bhubaneswar",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2993875,BABA LALITESWARA AGENCY,09-Jul-2025 12:21 PM,Rejected-Technical,Disqalified due to non submission of EMD,02-Aug-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,2.0,CORRIGENDUM-1,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2994144,BAIBHAVI ELECTRICALS AND CONSTRUCTION PRIVATE LIMITED,09-Jul-2025 04:25 PM,Rejected-Technical,Disqalified due to non submission of EMD,02-Aug-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2998618,DIVINE ENTERPRISES,14-Jul-2025 11:14 AM,Accepted-AOC,L1,28-Oct-2025 01:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2990505,JUPITER ENGINEERS,08-Jul-2025 08:54 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 10:53 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2993635,MANDAKINI ENGINEERING,08-Jul-2025 08:14 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 10:53 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2988029,M/s BASANTI ELECTRICALS AND CONSTRUCTION,03-Jul-2025 06:19 PM,Rejected-Technical,Disqalified due to non submission of EMD,02-Aug-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2993864,NARESH COMMERCIAL CORPORATION,09-Jul-2025 01:37 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 10:53 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2993733,RAMESH CHANDRA BISWAL,08-Jul-2025 09:57 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 10:53 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2992458,RNS POWER AND INFRA,07-Jul-2025 07:25 PM,Rejected-Finance,NOT BEING L1,28-Oct-2025 10:53 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
