Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,24-Jul-2025 09:00 AM,11-Aug-2025 10:30 AM,24-Jul-2025 09:00 AM,08-Aug-2025 05:00 PM,NA ,NA ,24-Jul-2025 09:00 AM,08-Aug-2025 05:00 PM,12-Sep-2025 10:30 AM,"2,57,400",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,08/OPHWC/2025-26,2025_OSPHW_115875_16,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Constn. of 8 F type Staff Qtrs. at Balidiha Fire Station in Mayurbhanj District,Building Work,Please refer Tender documents  ,NA ,"2,57,40,742",Civil Works - Buildings,NA ,Tender,90.0,300.0,Mayurbhanj,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC,Technical,4 Nos. of bidders have been participated,Bikram Keshari Malla,12-Aug-2025 01:56 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,09-Oct-2025 05:53 PM,finsummary_546912.pdf (372.36 KB),Finance,financial bid opened,Bikram Keshari Malla,12-Sep-2025 11:22 AM,,BOQ Comparative Chart,AS PER TC MINETUS,Internal,AS PER TC MINETUS,Srikanta Samal,11-Sep-2025 07:23 PM,12-Sep-2025 10:30 AM,techsummary_546912.pdf (358.95 KB),09-Oct-2025,"INR 21,882,205",300.0,Bikram Keshari Malla,09-Oct-2025 05:56 PM,WORJKHU.pdf (540.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 08.10.2025,1.0,3028467.0,SMRUTI RANJAN CHAMPATIRAY,INR,"21,882,205",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_115875_16,08/OPHWC/2025-26,Constn. of 8 F type Staff Qtrs. at Balidiha Fire Station in Mayurbhanj District,1,3027765,DHARANIDHAR SETHY,07-Aug-2025 09:20 PM,Rejected-Technical,Non Submission of valid adequate document to secure qualifying marks in Sch-C as per DTCN Cl. No. 13 and 110 (f).,11-Sep-2025 07:23 PM,AOC
,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3025666,SIBA HANSDA,08-Aug-2025 12:05 PM,Rejected-Finance,DUE TO L3 BIDDER,09-Oct-2025 05:53 PM,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3028467,SMRUTI RANJAN CHAMPATIRAY,08-Aug-2025 01:52 PM,Accepted-AOC,QUALIFIED BIDDER,09-Oct-2025 05:56 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3027606,SRI PRADIP KUMAR BHUJABAL,08-Aug-2025 12:11 PM,Rejected-Finance,DUE TO L2 BIDDER,09-Oct-2025 05:53 PM,AOC
