Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Construction of bridge over Nagabali river at 2nd Km on PWD road to Rebatiguda via Tamparbuduni (PS) road under SBY,Construction of bridge over Nagabali river at 2nd Km on PWD road to Rebatiguda via Tamparbuduni (PS) road under SBY in the district of Rayagada,Please refer Tender documents. ,NA ,"16,26,85,655",Civil Works - Bridges,NA ,Tender,90.0,607.0,Rayagada,751001.0,NA ,NA ,NA ,Office of EIC RW Odisha Bhubaneswar,No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GST, PAN, RC, Affidavit correctness certificate and no relation certificate",06-Jan-2025 04:00 PM,22-Jan-2025 11:00 AM,06-Jan-2025 04:00 PM,21-Jan-2025 05:00 PM,06-Jan-2025 04:00 PM ,20-Jan-2025 02:00 PM ,06-Jan-2025 04:00 PM,21-Jan-2025 05:00 PM,04-Mar-2025 05:00 PM,1.0,ICICI BANK,"16,26,857",Yes,percentage,1.0%,Nil,Nil,Chief Engineer Buildings and Bridges,Office of EIC RW Odisha Bhubaneswar,CE RW I,Tender Online-02/2024-25 (Bridges),2025_CERWI_109108_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,EIC RW-II,Internal,,Dinabandhu Behura,17-May-2025 07:07 PM,finsummary_524022.pdf (200.25 KB),Technical,Ten bidders participated,Dinabandhu Behura,22-Jan-2025 06:03 PM,,CE RW I,2025_CERWI_109108_4,Tender Online-02/2024-25 (Bridges),Construction of bridge over Nagabali river at 2nd Km on PWD road to Rebatiguda via Tamparbuduni (PS) road under SBY,1.0,2764113.0,DEMANTI AGRAWAL,INR,"138,299,075",24-Sep-2025,"INR 138,299,075",607.0,Dinabandhu Behura,15-Oct-2025 04:04 PM,rebatigudarayagada.pdf (639.00 KB),1,2768227,AMARDEEP AGARWALLA,21-Jan-2025 01:06 PM,Rejected-Finance,6th Lowest,17-May-2025 07:07 PM,Finance,Price bid opened,Dinabandhu Behura,10-Apr-2025 04:56 PM,,BOQ Comparative Chart,EIC RW-II,Internal,CE Bridge and Buildings SE Bridges AO Sr DAO,Dinabandhu Behura,28-Feb-2025 07:04 PM,04-Mar-2025 05:00 PM,techsummary_524022.pdf (455.66 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour licence, Work experience, Work in hand, ATO, Similar nature of work",,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2758755,AMRES SAI CONSTRUCTION PVT. LTD.,20-Jan-2025 07:42 PM,Rejected-AOC,Rejected,15-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries owned obtained on hire and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2769012,ARNS INFRAPROJECTS PRIVATE LIMITED,21-Jan-2025 04:47 PM,Rejected-Technical,Disqualified,28-Feb-2025 07:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2764113,DEMANTI AGRAWAL,18-Jan-2025 11:21 PM,Accepted-AOC,Agreement no18P1 of 2025-26,15-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2764723,PRABIR KUMAR NAIK PROP. OF P.K CONSTRUCTIONS,21-Jan-2025 04:47 PM,Rejected-Technical,Disqualified,28-Feb-2025 07:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2768047,RAM KUMAR AGRAWAL ENGINEERS PRIVATE LIMITED,21-Jan-2025 01:24 PM,Rejected-Finance,7th Lowest,17-May-2025 07:07 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2768140,RUDRA PRASAD PANIGRAHI,21-Jan-2025 04:53 PM,Rejected-Finance,5th Lowest,17-May-2025 07:07 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2767209,SAILABALA INFRASTRUCTURE PRIVATE LIMITED,21-Jan-2025 04:05 PM,Rejected-AOC,Rejected,15-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2750847,Surendra Maharana,21-Jan-2025 02:28 PM,Rejected-AOC,Rejected,15-Oct-2025 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2769008,SURJIT NANDY,21-Jan-2025 03:30 PM,Rejected-Finance,4th Lowest,17-May-2025 07:07 PM,,,,,,,,,,,,,,AOC
