Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NARASINGHPUR Block,2025_PRBN_114280_1,NSP/13/2025-26,Const. of Additional Class Room at Jemadeipur UPS,1.0,2965596.0,ROSALIN NAYAK,INR,"1,242,806",Block Development Officer,Internal,,PRALAYANANDA SATAPATHY,07-Aug-2025 09:30 PM,techsummary_542452.pdf (374.15 KB),28-Oct-2025,"INR 1,242,806",240.0,PRALAYANANDA SATAPATHY,28-Oct-2025 08:50 AM,Nizigarh.pdf (1844.00 KB),Finance,BIDS OPENED SUCCESSFULLY,PRALAYANANDA SATAPATHY,24-Jun-2025 11:30 AM,,BOQ Comparative Chart,Block Development Officer,Internal,,PRALAYANANDA SATAPATHY,09-Aug-2025 12:14 PM,finsummary_542452.pdf (374.15 KB),1,2974323,BIRANCHI SAHOO,19-Jun-2025 08:50 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,1.0,ICICI BANK,"14,700",Yes,fixed,,Nil,Nil,BDO NARASINGHPUR,PANCHAYAT SAMITI NARASINGHPUR,1.0,Fee/PreQual/Technical/Finance,.xls,boq,Const. of Additional Class Room at Jemadeipur UPS,Const. of Additional Class Room at Jemadeipur UPS,Please refer Tender documents. ,NA ,"14,61,953",Civil Works - Buildings,NA ,Tender,90.0,NA ,JEADEIPUR,754032.0,NA ,NA ,NA ,PANCHAYAT SAMITI NARSINGHPUR,No ,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NARASINGHPUR Block,NSP/13/2025-26,2025_PRBN_114280_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,09-Jun-2025 10:00 AM,21-Jun-2025 11:00 AM,09-Jun-2025 10:00 AM,20-Jun-2025 05:00 PM,09-Jun-2025 10:00 AM ,20-Jun-2025 05:00 PM ,09-Jun-2025 10:00 AM,20-Jun-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2972526,DIPAK MALIK,18-Jun-2025 06:23 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,dtcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2973546,JITENDRA KUMAR SETHI,19-Jun-2025 01:34 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2965999,LAXMIKANT SAHOO,13-Jun-2025 06:20 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2974105,MITHUN KUMAR BALIARSINGH,19-Jun-2025 06:53 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2966911,Mr Kedar Behera (SC),15-Jun-2025 10:49 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2975424,PADMA LOCHAN SAHOO,20-Jun-2025 03:33 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2975445,RITANJALI DALEI,20-Jun-2025 03:42 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2965596,ROSALIN NAYAK,13-Jun-2025 02:13 PM,Accepted-AOC,Work Order issued in his favour,28-Oct-2025 08:50 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2974302,SAI CHANDAN MOHAPATRA,19-Jun-2025 08:45 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2972469,UPENDRA KUMAR MALLIK,18-Jun-2025 05:44 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,09-Aug-2025 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
